congress,name,id,cs1,cs2,party,statecode,state,district
101,"Browder, Glen [AL-3]",15632,-0.108,0.504,100,41,AL,3
102,"Browder, Glen [AL-3]",15632,-0.108,0.504,100,41,AL,3
103,"Browder, Glen [AL-3]",15632,-0.108,0.504,100,41,AL,3
104,"Browder, Glen [AL-3]",15632,-0.108,0.504,100,41,AL,3
105,"Riley, Bob [AL-3]",29700,0.415,0.277,200,41,AL,3
106,"Riley, Bob [AL-3]",29700,0.415,0.277,200,41,AL,3
107,"Riley, Bob [AL-3]",29700,0.415,0.277,200,41,AL,3
108,"Rogers, Mike D. [AL-3]",20301,0.348,-0.115,200,41,AL,3
93,BEVILL,11000,-0.101,0.684,100,41,AL,4
94,BEVILL,11000,-0.101,0.684,100,41,AL,4
95,BEVILL,11000,-0.101,0.684,100,41,AL,4
96,BEVILL,11000,-0.101,0.684,100,41,AL,4
97,BEVILL,11000,-0.101,0.684,100,41,AL,4
98,BEVILL,11000,-0.101,0.684,100,41,AL,4
99,BEVILL,11000,-0.101,0.684,100,41,AL,4
100,BEVILL,11000,-0.101,0.684,100,41,AL,4
101,"Bevill, Tom [AL-4]",11000,-0.101,0.684,100,41,AL,4
102,"Bevill, Tom [AL-4]",11000,-0.101,0.684,100,41,AL,4
103,"Bevill, Tom [AL-4]",11000,-0.101,0.684,100,41,AL,4
104,"Bevill, Tom [AL-4]",11000,-0.101,0.684,100,41,AL,4
105,"Aderholt, Robert B. [AL-4]",29701,0.381,0.261,200,41,AL,4
106,"Aderholt, Robert B. [AL-4]",29701,0.381,0.261,200,41,AL,4
107,"Aderholt, Robert B. [AL-4]",29701,0.381,0.261,200,41,AL,4
108,"Aderholt, Robert B. [AL-4]",29701,0.381,0.261,200,41,AL,4
93,JONES (ALA.),5058,-0.238,0.71,100,41,AL,5
94,JONES (ALA.),5058,-0.238,0.71,100,41,AL,5
95,FLIPPO,14419,-0.098,0.684,100,41,AL,5
96,FLIPPO,14419,-0.098,0.684,100,41,AL,5
97,FLIPPO,14419,-0.098,0.684,100,41,AL,5
98,FLIPPO,14419,-0.098,0.684,100,41,AL,5
99,FLIPPO,14419,-0.098,0.684,100,41,AL,5
100,FLIPPO,14419,-0.098,0.684,100,41,AL,5
101,"Flippo, Ronnie G. [AL-5]",14419,-0.098,0.684,100,41,AL,5
102,"Cramer, Robert E. (Bud), Jr. [AL-5]",29100,-0.081,0.43,100,41,AL,5
103,"Cramer, Robert E. (Bud), Jr. [AL-5]",29100,-0.081,0.43,100,41,AL,5
104,"Cramer, Robert E. (Bud), Jr. [AL-5]",29100,-0.081,0.43,100,41,AL,5
105,"Cramer, Robert E. (Bud), Jr. [AL-5]",29100,-0.081,0.43,100,41,AL,5
106,"Cramer, Robert E. (Bud), Jr. [AL-5]",29100,-0.081,0.43,100,41,AL,5
107,"Cramer, Robert E. (Bud), Jr. [AL-5]",29100,-0.081,0.43,100,41,AL,5
108,"Cramer, Robert E. (Bud), Jr. [AL-5]",29100,-0.081,0.43,100,41,AL,5
93,BUCHANAN,10706,0.236,-0.166,200,41,AL,6
94,BUCHANAN,10706,0.236,-0.166,200,41,AL,6
95,BUCHANAN,10706,0.236,-0.166,200,41,AL,6
96,BUCHANAN,10706,0.236,-0.166,200,41,AL,6
97,"SMITH, A.",14862,0.449,0.062,200,41,AL,6
98,ERDREICH,15022,-0.029,0.322,100,41,AL,6
99,ERDREICH,15022,-0.029,0.322,100,41,AL,6
100,ERDREICH,15022,-0.029,0.322,100,41,AL,6
101,"Erdreich, Ben [AL-6]",15022,-0.029,0.322,100,41,AL,6
102,"Erdreich, Ben [AL-6]",15022,-0.029,0.322,100,41,AL,6
103,"Bachus, Spencer [AL-6]",29301,0.371,-0.054,200,41,AL,6
104,"Bachus, Spencer [AL-6]",29301,0.371,-0.054,200,41,AL,6
105,"Bachus, Spencer [AL-6]",29301,0.371,-0.054,200,41,AL,6
106,"Bachus, Spencer [AL-6]",29301,0.371,-0.054,200,41,AL,6
107,"Bachus, Spencer [AL-6]",29301,0.371,-0.054,200,41,AL,6
108,"Bachus, Spencer [AL-6]",29301,0.371,-0.054,200,41,AL,6
93,FLOWERS,12014,-0.018,0.553,100,41,AL,7
94,FLOWERS,12014,-0.018,0.553,100,41,AL,7
95,FLOWERS,12014,-0.018,0.553,100,41,AL,7
96,SHELBY,14659,0.054,0.62,100,41,AL,7
97,SHELBY,14659,0.054,0.62,100,41,AL,7
98,SHELBY,14659,0.054,0.62,100,41,AL,7
99,SHELBY,14659,0.054,0.62,100,41,AL,7
100,HARRIS,15416,-0.058,0.425,100,41,AL,7
101,"Harris, Claude [AL-7]",15416,-0.058,0.425,100,41,AL,7
102,"Harris, Claude [AL-7]",15416,-0.058,0.425,100,41,AL,7
103,"Hilliard, Earl F. [AL-7]",29302,-0.47,0.446,100,41,AL,7
104,"Hilliard, Earl F. [AL-7]",29302,-0.47,0.446,100,41,AL,7
105,"Hilliard, Earl F. [AL-7]",29302,-0.47,0.446,100,41,AL,7
106,"Hilliard, Earl F. [AL-7]",29302,-0.47,0.446,100,41,AL,7
107,"Hilliard, Earl F. [AL-7]",29302,-0.47,0.446,100,41,AL,7
108,"Davis, Artur [AL-7]",20302,-0.226,0.046,100,41,AL,7
93,ALEXANDER,12000,-0.29,0.597,100,42,AR,1
94,ALEXANDER,12000,-0.29,0.597,100,42,AR,1
95,ALEXANDER,12000,-0.29,0.597,100,42,AR,1
96,ALEXANDER,12000,-0.29,0.597,100,42,AR,1
97,ALEXANDER,12000,-0.29,0.597,100,42,AR,1
98,ALEXANDER,12000,-0.29,0.597,100,42,AR,1
99,ALEXANDER,12000,-0.29,0.597,100,42,AR,1
100,ALEXANDER,12000,-0.29,0.597,100,42,AR,1
101,"Alexander, Bill [AR-1]",12000,-0.29,0.597,100,42,AR,1
102,"Alexander, Bill [AR-1]",12000,-0.29,0.597,100,42,AR,1
103,"Lambert, Blanche M. [AR-1]",29305,-0.139,0.219,100,42,AR,1
104,"Lambert, Blanche M. [AR-1]",29305,-0.139,0.219,100,42,AR,1
105,"Berry, Marion [AR-1]",29702,-0.197,0.45,100,42,AR,1
106,"Berry, Marion [AR-1]",29702,-0.197,0.45,100,42,AR,1
107,"Berry, Marion [AR-1]",29702,-0.197,0.45,100,42,AR,1
108,"Berry, Marion [AR-1]",29702,-0.197,0.45,100,42,AR,1
93,MILLS (ARK.),6532,-0.1,0.751,100,42,AR,2
94,MILLS,6532,-0.1,0.751,100,42,AR,2
95,TUCKER,14457,-0.292,0.066,100,42,AR,2
96,BETHUNE,14606,0.285,-0.172,200,42,AR,2
97,BETHUNE,14606,0.285,-0.172,200,42,AR,2
98,BETHUNE,14606,0.285,-0.172,200,42,AR,2
99,"ROBINSON, T.",15122,0.021,0.34,100,42,AR,2
100,"ROBINSON, T.",15122,0.021,0.34,100,42,AR,2
101,"Robinson, Tommy F. [AR-2]",95122,0.253,0.196,200,42,AR,2
102,"Thornton, Ray [AR-2]",14058,-0.236,0.492,100,42,AR,2
103,"Thornton, Ray [AR-2]",14058,-0.236,0.492,100,42,AR,2
104,"Thornton, Ray [AR-2]",14058,-0.236,0.492,100,42,AR,2
105,"Snyder, Vic [AR-2]",29703,-0.222,-0.104,100,42,AR,2
106,"Snyder, Vic [AR-2]",29703,-0.222,-0.104,100,42,AR,2
107,"Snyder, Vic [AR-2]",29703,-0.222,-0.104,100,42,AR,2
108,"Snyder, Vic [AR-2]",29703,-0.222,-0.104,100,42,AR,2
93,HAMMERSCHMIDT,11020,0.259,0.258,200,42,AR,3
94,HAMMERSCHMIDT,11020,0.259,0.258,200,42,AR,3
95,HAMMERSCHMIDT,11020,0.259,0.258,200,42,AR,3
96,HAMMERSCHMIDT,11020,0.259,0.258,200,42,AR,3
97,HAMMERSCHMIDT,11020,0.259,0.258,200,42,AR,3
98,HAMMERSCHMIDT,11020,0.259,0.258,200,42,AR,3
99,HAMMERSCHMIDT,11020,0.259,0.258,200,42,AR,3
100,HAMMERSCHMIDT,11020,0.259,0.258,200,42,AR,3
101,"Hammerschmidt, John P. [AR-3]",11020,0.259,0.258,200,42,AR,3
102,"Hammerschmidt, John P. [AR-3]",11020,0.259,0.258,200,42,AR,3
103,"Hutchinson, Tim [AR-3]",29306,0.397,-0.044,200,42,AR,3
104,"Hutchinson, Tim [AR-3]",29306,0.397,-0.044,200,42,AR,3
105,"Hutchinson, Asa [AR-3]",29704,0.349,-0.124,200,42,AR,3
106,"Hutchinson, Asa [AR-3]",29704,0.349,-0.124,200,42,AR,3
107,"Boozman, John [AR-3]",20101,0.364,-0.096,200,42,AR,3
107,"Hutchinson, Asa [AR-3]",29704,0.349,-0.124,200,42,AR,3
108,"Boozman, John [AR-3]",20101,0.364,-0.096,200,42,AR,3
93,THORNTON,14058,-0.236,0.492,100,42,AR,4
94,THORNTON,14058,-0.236,0.492,100,42,AR,4
95,THORNTON,14058,-0.236,0.492,100,42,AR,4
96,ANTHONY,14601,-0.203,0.402,100,42,AR,4
97,ANTHONY,14601,-0.203,0.402,100,42,AR,4
98,ANTHONY,14601,-0.203,0.402,100,42,AR,4
99,ANTHONY,14601,-0.203,0.402,100,42,AR,4
100,ANTHONY,14601,-0.203,0.402,100,42,AR,4
101,"Anthony, Beryl, Jr. [AR-4]",14601,-0.203,0.402,100,42,AR,4
102,"Anthony, Beryl, Jr. [AR-4]",14601,-0.203,0.402,100,42,AR,4
103,"Dickey, Jay [AR-4]",29307,0.37,0.03,200,42,AR,4
104,"Dickey, Jay [AR-4]",29307,0.37,0.03,200,42,AR,4
105,"Dickey, Jay [AR-4]",29307,0.37,0.03,200,42,AR,4
106,"Dickey, Jay [AR-4]",29307,0.37,0.03,200,42,AR,4
107,"Ross, Mike [AR-4]",20102,-0.165,0.245,100,42,AR,4
108,"Ross, Mike [AR-4]",20102,-0.165,0.245,100,42,AR,4
93,RHODES,7845,0.252,-0.104,200,61,AZ,1
94,RHODES,7845,0.252,-0.104,200,61,AZ,1
95,RHODES,7845,0.252,-0.104,200,61,AZ,1
96,RHODES,7845,0.252,-0.104,200,61,AZ,1
97,RHODES,7845,0.252,-0.104,200,61,AZ,1
98,MCCAIN,15039,0.291,-0.51,200,61,AZ,1
99,MCCAIN,15039,0.291,-0.51,200,61,AZ,1
100,RHODES,15440,0.386,-0.242,200,61,AZ,1
101,"Rhodes, John J., III [AZ-1]",15440,0.386,-0.242,200,61,AZ,1
102,"Rhodes, John J., III [AZ-1]",15440,0.386,-0.242,200,61,AZ,1
103,"Coppersmith, Sam [AZ-1]",29303,-0.199,-0.362,100,61,AZ,1
104,"Salmon, Matt [AZ-1]",29500,0.579,-0.335,200,61,AZ,1
105,"Salmon, Matt [AZ-1]",29500,0.579,-0.335,200,61,AZ,1
106,"Salmon, Matt [AZ-1]",29500,0.579,-0.335,200,61,AZ,1
107,"Flake, Jeff [AZ-1]",20100,0.813,-0.101,200,61,AZ,1
108,"Renzi, Rick [AZ-1]",20303,0.303,-0.019,200,61,AZ,1
93,UDALL,10566,-0.36,0.05,100,61,AZ,2
94,UDALL,10566,-0.36,0.05,100,61,AZ,2
95,UDALL,10566,-0.36,0.05,100,61,AZ,2
96,UDALL,10566,-0.36,0.05,100,61,AZ,2
97,UDALL,10566,-0.36,0.05,100,61,AZ,2
98,UDALL,10566,-0.36,0.05,100,61,AZ,2
99,UDALL,10566,-0.36,0.05,100,61,AZ,2
100,UDALL,10566,-0.36,0.05,100,61,AZ,2
101,"Udall, Morris K. [AZ-2]",10566,-0.36,0.05,100,61,AZ,2
102,"Pastor, Ed [AZ-2]",29101,-0.348,-0.008,100,61,AZ,2
102,"Udall, Morris K. [AZ-2]",10566,,,100,61,AZ,2
103,"Pastor, Ed [AZ-2]",29101,-0.348,-0.008,100,61,AZ,2
104,"Pastor, Ed [AZ-2]",29101,-0.348,-0.008,100,61,AZ,2
105,"Pastor, Ed [AZ-2]",29101,-0.348,-0.008,100,61,AZ,2
106,"Pastor, Ed [AZ-2]",29101,-0.348,-0.008,100,61,AZ,2
107,"Pastor, Ed [AZ-2]",29101,-0.348,-0.008,100,61,AZ,2
108,"Franks, Trent [AZ-2]",20304,0.685,0.158,200,61,AZ,2
93,STEIGER (ARIZ.),11050,0.433,0.127,200,61,AZ,3
94,STEIGER (ARIZ.),11050,0.433,0.127,200,61,AZ,3
95,STUMP,94454,0.447,0.555,100,61,AZ,3
96,STUMP,94454,0.447,0.555,100,61,AZ,3
97,STUMP,94454,0.447,0.555,100,61,AZ,3
98,STUMP,14454,0.65,0.14,200,61,AZ,3
99,STUMP,14454,0.65,0.14,200,61,AZ,3
100,STUMP,14454,0.65,0.14,200,61,AZ,3
101,"Stump, Bob [AZ-3]",14454,0.65,0.14,200,61,AZ,3
102,"Stump, Bob [AZ-3]",14454,0.65,0.14,200,61,AZ,3
103,"Stump, Bob [AZ-3]",14454,0.65,0.14,200,61,AZ,3
104,"Stump, Bob [AZ-3]",14454,0.65,0.14,200,61,AZ,3
105,"Stump, Bob [AZ-3]",14454,0.65,0.14,200,61,AZ,3
106,"Stump, Bob [AZ-3]",14454,0.65,0.14,200,61,AZ,3
107,"Stump, Bob [AZ-3]",14454,0.65,0.14,200,61,AZ,3
108,"Shadegg, John B. [AZ-3]",29501,0.65,-0.205,200,61,AZ,3
93,CONLAN,14011,0.503,-0.051,200,61,AZ,4
94,CONLAN,14011,0.503,-0.051,200,61,AZ,4
95,RUDD,14449,0.452,0.498,200,61,AZ,4
96,RUDD,14449,0.452,0.498,200,61,AZ,4
97,RUDD,14449,0.452,0.498,200,61,AZ,4
98,RUDD,14449,0.452,0.498,200,61,AZ,4
99,RUDD,14449,0.452,0.498,200,61,AZ,4
100,KYL,15429,0.515,-0.51,200,61,AZ,4
101,"Kyl, Jon [AZ-4]",15429,0.515,-0.51,200,61,AZ,4
102,"Kyl, Jon [AZ-4]",15429,0.515,-0.51,200,61,AZ,4
103,"Kyl, Jon [AZ-4]",15429,0.515,-0.51,200,61,AZ,4
104,"Shadegg, John B. [AZ-4]",29501,0.65,-0.205,200,61,AZ,4
105,"Shadegg, John B. [AZ-4]",29501,0.65,-0.205,200,61,AZ,4
106,"Shadegg, John B. [AZ-4]",29501,0.65,-0.205,200,61,AZ,4
107,"Shadegg, John B. [AZ-4]",29501,0.65,-0.205,200,61,AZ,4
108,"Pastor, Ed [AZ-4]",29101,-0.348,-0.008,100,61,AZ,4
98,MCNULTY,15043,-0.249,0,100,61,AZ,5
99,KOLBE,15105,0.327,-0.643,200,61,AZ,5
100,KOLBE,15105,0.327,-0.643,200,61,AZ,5
101,"Kolbe, Jim [AZ-5]",15105,0.327,-0.643,200,61,AZ,5
102,"Kolbe, Jim [AZ-5]",15105,0.327,-0.643,200,61,AZ,5
103,"Kolbe, Jim [AZ-5]",15105,0.327,-0.643,200,61,AZ,5
104,"Kolbe, Jim [AZ-5]",15105,0.327,-0.643,200,61,AZ,5
105,"Kolbe, Jim [AZ-5]",15105,0.327,-0.643,200,61,AZ,5
106,"Kolbe, Jim [AZ-5]",15105,0.327,-0.643,200,61,AZ,5
107,"Kolbe, Jim [AZ-5]",15105,0.327,-0.643,200,61,AZ,5
108,"Hayworth, J. D. [AZ-5]",29502,0.492,-0.102,200,61,AZ,5
103,"English, Karan [AZ-6]",29304,-0.251,-0.256,100,61,AZ,6
104,"Hayworth, J. D. [AZ-6]",29502,0.492,-0.102,200,61,AZ,6
105,"Hayworth, J. D. [AZ-6]",29502,0.492,-0.102,200,61,AZ,6
106,"Hayworth, J. D. [AZ-6]",29502,0.492,-0.102,200,61,AZ,6
107,"Hayworth, J. D. [AZ-6]",29502,0.492,-0.102,200,61,AZ,6
108,"Flake, Jeff [AZ-6]",20100,0.813,-0.101,200,61,AZ,6
108,"Grijalva, Raul M. [AZ-7]",20305,-0.544,-0.208,100,61,AZ,7
108,"Kolbe, Jim [AZ-8]",15105,0.327,-0.643,200,61,AZ,8
93,DON H. CLAUSEN,10579,0.185,-0.028,200,71,CA,1
94,JOHNSON (CALIF.),4957,-0.366,0.402,100,71,CA,1
95,JOHNSON (CALIF.),4957,-0.366,0.402,100,71,CA,1
96,"JOHNSON, H.",4957,-0.366,0.402,100,71,CA,1
97,CHAPPIE,14805,0.374,-0.17,200,71,CA,1
98,BOSCO,15009,-0.242,-0.005,100,71,CA,1
99,BOSCO,15009,-0.242,-0.005,100,71,CA,1
100,BOSCO,15009,-0.242,-0.005,100,71,CA,1
101,"Bosco, Douglas H. [CA-1]",15009,-0.242,-0.005,100,71,CA,1
102,"Riggs, Frank [CA-1]",29103,0.311,-0.358,200,71,CA,1
103,"Hamburg, Dan [CA-1]",29308,-0.493,-0.422,100,71,CA,1
104,"Riggs, Frank [CA-1]",29103,0.311,-0.358,200,71,CA,1
105,"Riggs, Frank [CA-1]",29103,0.311,-0.358,200,71,CA,1
106,"Thompson, Mike [CA-1]",29901,-0.331,0.193,100,71,CA,1
107,"Thompson, Mike [CA-1]",29901,-0.331,0.193,100,71,CA,1
108,"Thompson, Mike [CA-1]",29901,-0.331,0.193,100,71,CA,1
93,JOHNSON (CALIF.),4957,-0.366,0.402,100,71,CA,2
94,"CLAUSEN, DON H.",10579,0.185,-0.028,200,71,CA,2
95,"CLAUSEN, DON H.",10579,0.185,-0.028,200,71,CA,2
96,"CLAUSEN, DON H.",10579,0.185,-0.028,200,71,CA,2
97,"CLAUSEN, DON H.",10579,0.185,-0.028,200,71,CA,2
98,CHAPPIE,14805,0.374,-0.17,200,71,CA,2
99,CHAPPIE,14805,0.374,-0.17,200,71,CA,2
100,HERGER,15420,0.515,-0.063,200,71,CA,2
101,"Herger, Wally [CA-2]",15420,0.515,-0.063,200,71,CA,2
102,"Herger, Wally [CA-2]",15420,0.515,-0.063,200,71,CA,2
103,"Herger, Wally [CA-2]",15420,0.515,-0.063,200,71,CA,2
104,"Herger, Wally [CA-2]",15420,0.515,-0.063,200,71,CA,2
105,"Herger, Wally [CA-2]",15420,0.515,-0.063,200,71,CA,2
106,"Herger, Wally [CA-2]",15420,0.515,-0.063,200,71,CA,2
107,"Herger, Wally [CA-2]",15420,0.515,-0.063,200,71,CA,2
108,"Herger, Wally [CA-2]",15420,0.515,-0.063,200,71,CA,2
93,MOSS,6756,-0.499,0.199,100,71,CA,3
94,MOSS,6756,-0.499,0.199,100,71,CA,3
95,MOSS,6756,-0.499,0.199,100,71,CA,3
96,MATSUI,14649,-0.379,-0.045,100,71,CA,3
97,MATSUI,14649,-0.379,-0.045,100,71,CA,3
98,MATSUI,14649,-0.379,-0.045,100,71,CA,3
99,MATSUI,14649,-0.379,-0.045,100,71,CA,3
100,MATSUI,14649,-0.379,-0.045,100,71,CA,3
101,"Matsui, Robert T. [CA-3]",14649,-0.379,-0.045,100,71,CA,3
102,"Matsui, Robert T. [CA-3]",14649,-0.379,-0.045,100,71,CA,3
103,"Fazio, Vic [CA-3]",14624,-0.406,0.326,100,71,CA,3
104,"Fazio, Vic [CA-3]",14624,-0.406,0.326,100,71,CA,3
105,"Fazio, Vic [CA-3]",14624,-0.406,0.326,100,71,CA,3
106,"Ose, Doug [CA-3]",29902,0.281,-0.43,200,71,CA,3
107,"Ose, Doug [CA-3]",29902,0.281,-0.43,200,71,CA,3
108,"Ose, Doug [CA-3]",29902,0.281,-0.43,200,71,CA,3
93,LEGGETT,10599,-0.448,0.125,100,71,CA,4
94,LEGGETT,10599,-0.448,0.125,100,71,CA,4
95,LEGGETT,10599,-0.448,0.125,100,71,CA,4
96,FAZIO,14624,-0.406,0.326,100,71,CA,4
97,FAZIO,14624,-0.406,0.326,100,71,CA,4
98,FAZIO,14624,-0.406,0.326,100,71,CA,4
99,FAZIO,14624,-0.406,0.326,100,71,CA,4
100,FAZIO,14624,-0.406,0.326,100,71,CA,4
101,"Fazio, Vic [CA-4]",14624,-0.406,0.326,100,71,CA,4
102,"Fazio, Vic [CA-4]",14624,-0.406,0.326,100,71,CA,4
103,"Doolittle, John T. [CA-4]",29104,0.525,-0.034,200,71,CA,4
104,"Doolittle, John T. [CA-4]",29104,0.525,-0.034,200,71,CA,4
105,"Doolittle, John T. [CA-4]",29104,0.525,-0.034,200,71,CA,4
106,"Doolittle, John T. [CA-4]",29104,0.525,-0.034,200,71,CA,4
107,"Doolittle, John T. [CA-4]",29104,0.525,-0.034,200,71,CA,4
108,"Doolittle, John T. [CA-4]",29104,0.525,-0.034,200,71,CA,4
93,BURTON,10577,-0.643,-0.137,100,71,CA,5
94,"BURTON, JOHN L.",14076,-0.511,-0.603,100,71,CA,5
95,"BURTON, JOHN L.",14076,-0.511,-0.603,100,71,CA,5
96,"BURTON, J.",14076,-0.511,-0.603,100,71,CA,5
97,"BURTON, J.",14076,-0.511,-0.603,100,71,CA,5
98,"BURTON, P.",10577,-0.643,-0.137,100,71,CA,5
98,"BURTON, S.",15080,-0.534,-0.111,100,71,CA,5
99,"BURTON, S.",15080,-0.534,-0.111,100,71,CA,5
100,"BURTON, S.",15080,,,100,71,CA,5
100,PELOSI,15448,-0.479,-0.377,100,71,CA,5
101,"Pelosi, Nancy [CA-5]",15448,-0.479,-0.377,100,71,CA,5
102,"Pelosi, Nancy [CA-5]",15448,-0.479,-0.377,100,71,CA,5
103,"Matsui, Robert T. [CA-5]",14649,-0.379,-0.045,100,71,CA,5
104,"Matsui, Robert T. [CA-5]",14649,-0.379,-0.045,100,71,CA,5
105,"Matsui, Robert T. [CA-5]",14649,-0.379,-0.045,100,71,CA,5
106,"Matsui, Robert T. [CA-5]",14649,-0.379,-0.045,100,71,CA,5
107,"Matsui, Robert T. [CA-5]",14649,-0.379,-0.045,100,71,CA,5
108,"Matsui, Robert T. [CA-5]",14649,-0.379,-0.045,100,71,CA,5
93,BURTON (CALIF.),14076,-0.511,-0.603,100,71,CA,6
93,MAILLIARD,5929,0.102,-0.516,200,71,CA,6
94,"BURTON, PHILLIP",10577,-0.643,-0.137,100,71,CA,6
95,"BURTON, PHILLIP",10577,-0.643,-0.137,100,71,CA,6
96,"BURTON, P.",10577,-0.643,-0.137,100,71,CA,6
97,"BURTON, P.",10577,-0.643,-0.137,100,71,CA,6
98,BOXER,15011,-0.45,-0.265,100,71,CA,6
99,BOXER,15011,-0.45,-0.265,100,71,CA,6
100,BOXER,15011,-0.45,-0.265,100,71,CA,6
101,"Boxer, Barbara [CA-6]",15011,-0.45,-0.265,100,71,CA,6
102,"Boxer, Barbara [CA-6]",15011,-0.45,-0.265,100,71,CA,6
103,"Woolsey, Lynn C. [CA-6]",29309,-0.495,-0.5,100,71,CA,6
104,"Woolsey, Lynn C. [CA-6]",29309,-0.495,-0.5,100,71,CA,6
105,"Woolsey, Lynn C. [CA-6]",29309,-0.495,-0.5,100,71,CA,6
106,"Woolsey, Lynn C. [CA-6]",29309,-0.495,-0.5,100,71,CA,6
107,"Woolsey, Lynn C. [CA-6]",29309,-0.495,-0.5,100,71,CA,6
108,"Woolsey, Lynn C. [CA-6]",29309,-0.495,-0.5,100,71,CA,6
93,DELLUMS,13011,-0.626,-0.523,100,71,CA,7
94,MILLER (CALIF.),14256,-0.486,-0.403,100,71,CA,7
95,MILLER (OHIO),14256,-0.486,-0.403,100,71,CA,7
96,"MILLER, G.",14256,-0.486,-0.403,100,71,CA,7
97,"MILLER, G.",14256,-0.486,-0.403,100,71,CA,7
98,"MILLER, G.",14256,-0.486,-0.403,100,71,CA,7
99,"MILLER, G.",14256,-0.486,-0.403,100,71,CA,7
100,"MILLER, G.",14256,-0.486,-0.403,100,71,CA,7
101,"Miller, George [CA-7]",14256,-0.486,-0.403,100,71,CA,7
102,"Miller, George [CA-7]",14256,-0.486,-0.403,100,71,CA,7
103,"Miller, George [CA-7]",14256,-0.486,-0.403,100,71,CA,7
104,"Miller, George [CA-7]",14256,-0.486,-0.403,100,71,CA,7
105,"Miller, George [CA-7]",14256,-0.486,-0.403,100,71,CA,7
106,"Miller, George [CA-7]",14256,-0.486,-0.403,100,71,CA,7
