Congress,Committee code,ID #,Name,Maj/Min,Rank Within Party Status,Party,Date of Assignment,Date of Termination,Senior Party Member,Committee Seniority,Committee Period of Service,Committee status at end of this Congress,Committee continuity of assignment in next Congress,Appointment Citation,Committee Name,State,CD,State Name,Notes,
103,106,15429,"Kyl, Jon L.",2,8,200,1/5/93,1/3/95,0,4,2,1,0,,ARMED SERVICES,,,,,
103,106,15439,"Ravenel, Arthur, Jr.",2,9,200,1/5/93,1/3/95,0,4,2,1,0,,ARMED SERVICES,,,,,
103,106,14414,"Dornan, Robert K.",2,10,200,1/5/93,1/3/95,0,3,2,1,1,,ARMED SERVICES,,,,,
103,106,15419,"Hefley, Joel",2,11,200,1/5/93,1/3/95,0,3,2,1,1,,ARMED SERVICES,,,,,
103,106,15615,"Machtley, Ronald K.",2,12,200,1/5/93,1/3/95,0,3,2,1,0,,ARMED SERVICES,,,,,
103,106,15112,"Saxton, H. James",2,13,200,1/5/93,1/3/95,0,2,2,1,1,,ARMED SERVICES,,,,,
103,106,29107,"Cunningham, Randy (Duke)",2,14,200,1/5/93,1/3/95,0,2,2,1,1,,ARMED SERVICES,,,,,
103,106,15424,"Inhofe, James M.",2,15,200,1/5/93,11/15/94,0,1,2,6,0,,ARMED SERVICES,,,,"Resigned from the House, having been elected to the Senate",
103,106,29350,"Buyer, Stephen E.",2,16,200,1/5/93,1/3/95,0,1,2,1,1,,ARMED SERVICES,,,,,
103,106,29359,"Torkildsen, Peter G.",2,17,200,1/5/93,1/3/95,0,1,2,1,1,,ARMED SERVICES,,,,,
103,106,29329,"Fowler, Tillie",2,18,200,1/5/93,1/3/95,0,1,2,1,1,,ARMED SERVICES,,,,,
103,106,39316,"McHugh, John M.",2,19,200,1/5/93,1/3/95,0,1,2,1,1,,ARMED SERVICES,,,,,
103,106,29369,"Talent, James M.",2,20,200,1/5/93,1/3/95,0,1,2,1,1,,ARMED SERVICES,,,,,
103,106,29300,"Everett, Terry",2,21,200,1/5/93,1/3/95,0,1,2,1,1,,ARMED SERVICES,,,,,
103,106,29356,"Bartlett, Roscoe G.",2,22,200,1/5/93,1/3/95,0,1,2,1,1,,ARMED SERVICES,,,,,
103,106,29313,"Farr, Sam",4,34,100,7/21/93,1/3/95,0,1,2,1,2,,ARMED SERVICES,,,,,
103,106,29396,"Holden, Tim",6,1,100,1/21/93,1/3/95,0,1,2,1,2,,ARMED SERVICES,,,,,
103,113,10520,"Gonzalez, Henry B.",1,1,100,1/5/93,1/3/95,11,17,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,14262,"Neal, Stephen L.",1,2,100,1/5/93,1/3/95,0,10,2,1,0,,"Banking, Finance, and Urban Affairs",,,,,
103,113,14248,"LaFalce, John J.",1,3,100,1/5/93,1/3/95,0,10,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,14458,"Vento, Bruce F.",1,4,100,1/5/93,1/3/95,0,9,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,14858,"Schumer, Charles E.",1,5,100,1/5/93,1/3/95,0,7,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,14824,"Frank, Barney",1,6,100,1/5/93,1/3/95,0,7,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,15104,"Kanjorski, Paul E.",1,7,100,1/5/93,1/3/95,0,5,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,15427,"Kennedy, Joseph P., II",1,8,100,1/5/93,1/3/95,0,4,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,15412,"Flake, Floyd H.",1,9,100,1/5/93,1/3/95,0,4,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,15433,"Mfume, Kweisi",1,10,100,1/5/93,1/3/95,0,4,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29106,"Waters, Maxine",1,11,100,1/5/93,1/3/95,0,2,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29114,"LaRocco, Larry",1,12,100,1/5/93,1/3/95,0,2,2,1,0,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29146,"Orton, Bill",1,13,100,1/5/93,1/3/95,0,2,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29112,"Bacchus, Jim",1,14,100,1/5/93,1/3/95,0,2,2,1,0,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29372,"Klein, Herb",1,15,100,1/5/93,1/3/95,0,1,2,1,0,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29379,"Maloney, Carolyn B.",1,16,100,1/5/93,1/3/95,0,1,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29335,"Deutsch, Peter",1,17,100,1/5/93,1/3/95,0,1,2,1,2,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29348,"Gutierrez, Luis V.",1,18,100,1/5/93,1/3/95,0,1,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29346,"Rush, Bobby L.",1,19,100,1/5/93,1/3/95,0,1,2,1,2,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29317,"Roybal-Allard, Lucille",1,20,100,1/5/93,1/3/95,0,1,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,39315,"Barrett, Thomas M.",1,21,100,1/5/93,1/3/95,0,1,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29394,"Furse, Elizabeth",1,22,100,1/5/93,1/3/95,0,1,2,1,2,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29378,"Velazquez, Nydia M.",1,23,100,1/5/93,1/3/95,0,1,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29355,"Wynn, Albert R.",1,24,100,1/5/93,1/3/95,0,1,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29354,"Fields, Cleo",1,25,100,1/5/93,1/3/95,0,1,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29383,"Watt, Melvin",1,26,100,1/5/93,1/3/95,0,1,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29380,"Hinchey, Maurice D.",1,27,100,1/5/93,1/3/95,0,1,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29105,"Dooley, Calvin M.",1,28,100,1/21/93,1/3/95,0,1,2,1,2,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29395,"Klink, Ron",1,29,100,1/21/93,1/3/95,0,1,2,1,2,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29391,"Fingerhut, Eric D.",1,30,100,1/21/93,1/3/95,0,1,2,1,0,,"Banking, Finance, and Urban Affairs",,,,,
103,113,14432,"Leach, James A.S.",2,1,200,1/5/93,1/3/95,21,9,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,14842,"McCollum, Bill",2,2,200,1/5/93,1/3/95,0,7,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,14855,"Roukema, Margaret",2,3,200,1/5/93,1/3/95,0,7,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,14605,"Bereuter, Douglas K.",2,4,200,1/5/93,1/3/95,0,7,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,15056,"Ridge, Thomas J.",2,5,200,1/5/93,1/3/95,0,6,2,1,0,,"Banking, Finance, and Urban Affairs",,,,,
103,113,14655,"Roth, Tobias A.",2,6,200,1/5/93,1/3/95,0,5,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,15040,"McCandless, Alfred A.",2,7,200,1/5/93,1/3/95,0,5,2,1,0,,"Banking, Finance, and Urban Affairs",,,,,
103,113,15401,"Baker, Richard H.",2,8,200,1/5/93,1/3/95,0,3,2,1,1,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29118,"Nussle, Jim",2,9,200,1/5/93,1/3/95,0,2,2,1,2,,"Banking, Finance, and Urban Affairs",,,,,
103,113,15633,"Thomas, Craig",2,10,200,1/5/93,1/3/95,0,2,2,1,0,,"Banking, Finance, and Urban Affairs",,,,,
103,113,29143,"Johnson, Sam",2,11,200,1/5/93,1/3/95,0,2,2,1,2,,"Banking, Finance, and Urban Affairs",,,,,
