Congress,Committee Code,ID #,Name,Maj/Min,Rank Within Party,Party Code,Date of Appointment,Date of Termination,,Senior Party Member,Committee Seniority,Committee Period of Service,Committee status at end of this Congress,Committee continuity of assignment in next Congress,Appointment Citation,Committee Name,State Code,District,State Name,Notes,,,,
103,305,14809,"Craig, Larry E.",2,6,200,1/7/93,1/3/95,,0,3,2,1,1,S. Res. 7,"Agriculture, Nutrition, and Forestry",63,82,ID,,,,,
103,305,49301,"Coverdell, Paul",2,7,200,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 7,"Agriculture, Nutrition, and Forestry",44,83,GA,,,,,
103,305,14226,"Grassley, Charles E.",2,8,200,1/7/93,1/3/95,,0,3,3,1,1,S. Res. 7,"Agriculture, Nutrition, and Forestry",31,83,IA,,,,,
103,306,1366,"Byrd, Robert C.",1,1,100,1/7/93,1/3/95,,11,35,2,1,1,S. Res. 5,Appropriations,56,81,WV,,,,,
103,306,4812,"Inouye, Daniel K.",1,2,100,1/7/93,1/3/95,,0,23,2,1,1,S. Res. 5,Appropriations,82,83,HI,,,,,
103,306,11204,"Hollings, Ernest F.",1,3,100,1/7/93,1/3/95,,0,23,2,1,1,S. Res. 5,Appropriations,48,83,SC,,,,,
103,306,14107,"Johnston, J. Bennet",1,4,100,1/7/93,1/3/95,,0,19,2,1,1,S. Res. 5,Appropriations,45,82,LA,,,,,
103,306,14307,"Leahy, Patrick J.",1,5,100,1/7/93,1/3/95,,0,16,2,1,1,S. Res. 5,Appropriations,6,83,VT,,,,,
103,306,14509,"Sasser, Jim",1,6,100,1/7/93,1/3/95,,0,16,2,1,0,S. Res. 5,Appropriations,54,81,TN,,,,,
103,306,14502,"DeConcini, Dennis",1,7,100,1/7/93,1/3/95,,0,16,2,1,0,S. Res. 5,Appropriations,61,81,AZ,,,,,
103,306,14300,"Bumpers, Dale",1,8,100,1/7/93,1/3/95,,0,15,2,1,1,S. Res. 5,Appropriations,42,83,AR,,,,,
103,306,14914,"Lautenberg, Frank R.",1,9,100,1/7/93,1/3/95,,0,8,4,1,1,S. Res. 5,Appropriations,12,81,NJ,,,,,
103,306,14230,"Harkin, Tom",1,10,100,1/7/93,1/3/95,,0,8,2,1,1,S. Res. 5,Appropriations,31,82,IA,,,,,
103,306,14440,"Mikulski, Barbara A.",1,11,100,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 5,Appropriations,52,83,MD,,,,,
103,306,15054,"Reid, Harry",1,12,100,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 5,Appropriations,65,83,NV,,,,,
103,306,15702,"Kerrey, J. Robert",1,13,100,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 5,Appropriations,35,81,NE,,,,,
103,306,15703,"Kohl, Herbert H.",1,14,100,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 5,Appropriations,25,81,WI,,,,,
103,306,49308,"Murray, Patty",1,15,100,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 5,Appropriations,73,83,WA,,,,,
103,306,49300,"Feinstein, Dianne",1,16,100,1/7/93,1/3/95,,0,1,3,1,2,S. Res. 5,Appropriations,71,81,CA,,,,,
103,306,11203,"Hatfield, Mark O.",2,1,200,1/7/93,1/3/95,,21,21,2,1,1,S. Res. 7,Appropriations,72,82,OR,,,,,
103,306,12109,"Stevens, Ted",2,2,200,1/7/93,1/3/95,,0,21,2,1,1,S. Res. 7,Appropriations,81,82,AK,,,,,
103,306,14009,"Cochran, Thad",2,3,200,1/7/93,1/3/95,,0,13,2,1,1,S. Res. 7,Appropriations,46,82,MS,,,,,
103,306,14900,"D'Amato, Alfonso M.",2,4,200,1/7/93,1/3/95,,0,13,2,1,2,S. Res. 7,Appropriations,13,83,NY,,,,,
103,306,14910,"Specter, Arlen",2,5,200,1/7/93,1/3/95,,0,13,2,1,1,S. Res. 7,Appropriations,14,83,PA,,,,,
103,306,14103,"Domenici, Pete V.",2,6,200,1/7/93,1/3/95,,0,11,2,1,1,S. Res. 7,Appropriations,66,82,NM,,,,,
103,306,14908,"Nickles, Don",2,7,200,1/7/93,1/3/95,,0,7,2,1,2,S. Res. 7,Appropriations,53,83,OK,,,,,
103,306,14628,"Gramm, Phil",2,8,200,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 7,Appropriations,49,82,TX,,,,,
103,306,15501,"Bond, Christopher S.",2,9,200,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 7,Appropriations,34,83,MO,,,,,
103,306,14904,"Gorton, Slade",2,10,200,1/7/93,1/3/95,,0,3,4,1,1,S. Res. 7,Appropriations,73,81,WA,,,,,
103,306,14921,"McConnell, Mitch",2,11,200,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 7,Appropriations,51,82,KY,,,,,
103,306,15037,"Mack, Connie",2,12,200,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 7,Appropriations,43,81,FL,,,,,
103,306,15701,"Burns, Conrad",2,13,200,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 7,Appropriations,64,81,MT,,,,,
103,308,14108,"Nunn, Sam",1,1,100,1/7/93,1/3/95,,11,21,2,1,1,S. Res. 5,Armed Services,44,82,GA,,,,,
103,308,14704,"Exon, J. James",1,2,100,1/7/93,1/3/95,,0,15,2,1,1,S. Res. 5,Armed Services,35,82,NE,,,,,
103,308,14709,"Levin, Carl",1,3,100,1/7/93,1/3/95,,0,15,2,1,1,S. Res. 5,Armed Services,23,82,MI,,,,,
103,308,10808,"Kennedy, Edward M.",1,4,100,1/7/93,1/3/95,,0,11,2,1,1,S. Res. 5,Armed Services,3,81,MA,,,,,
103,308,14912,"Bingaman, Jeff",1,5,100,1/7/93,1/3/95,,0,11,3,1,1,S. Res. 5,Armed Services,66,81,NM,,,,,
103,308,14304,"Glenn, John",1,6,100,1/7/93,1/3/95,,0,8,2,1,1,S. Res. 5,Armed Services,24,83,OH,,,,,
103,308,94659,"Shelby, Richard C.",1,7,100,1/7/93,1/3/95,,0,7,2,1,2,S. Res. 5,Armed Services,41,83,AL,,,,,
103,308,1366,"Byrd, Robert C.",1,8,100,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 5,Armed Services,56,81,WV,,,,,
103,308,15503,"Graham, Bob",1,9,100,1/7/93,1/3/95,,0,1,2,1,2,S. Res. 5,Armed Services,43,83,FL,,,,,
103,308,15705,"Robb, Charles S.",1,10,100,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 5,Armed Services,40,81,VA,,,,,
103,308,15704,"Lieberman, Joseph I.",1,11,100,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 5,Armed Services,1,81,CT,,,,,
103,308,9369,"Thurmond, Strom",2,1,200,1/7/93,1/3/95,,21,35,2,1,1,S. Res. 7,Armed Services,48,82,SC,,,,,
103,308,14712,"Warner, John W.",2,2,200,1/7/93,1/3/95,,0,15,2,1,1,S. Res. 7,Armed Services,40,82,VA,,,,,
103,308,14010,"Cohen, William S.",2,3,200,1/7/93,1/3/95,,0,15,2,1,1,S. Res. 7,Armed Services,2,82,ME,,,,,
103,308,15039,"McCain, John",2,4,200,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 7,Armed Services,61,83,AZ,,,,,
103,308,14031,"Lott, Trent",2,5,200,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 7,Armed Services,46,81,MS,,,,,
103,308,14806,"Coats, Dan",2,6,200,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 7,Armed Services,22,83,IN,,,,,
103,308,15116,"Smith, Robert C.",2,7,200,1/7/93,1/3/95,,0,3,2,1,1,S. Res. 7,Armed Services,4,82,NH,,,,,
103,308,49302,"Kempthorne, Dirk",2,8,200,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 7,Armed Services,63,83,ID,,,,,
103,308,49304,"Faircloth, Lauch",2,9,200,1/7/93,1/3/95,,0,1,2,1,2,S. Res. 7,Armed Services,47,83,NC,,,,,
103,308,49306,"Hutchison, Kay Bailey",5,1,200,7/1/93,1/3/95,,0,1,2,1,1,S. Res. 131,Armed Services,49,81,TX,,,,,
103,314,11043,"Riegle, Donald W., Jr.",1,1,100,1/7/93,1/3/95,,11,16,2,1,0,S. Res. 5,"Banking, Housing, and Urban Affairs",23,81,MI,,,,,
103,314,13039,"Sarbanes, Paul S.",1,2,100,1/7/93,1/3/95,,0,16,2,1,1,S. Res. 5,"Banking, Housing, and Urban Affairs",52,81,MD,,,,,
103,314,14213,"Dodd, Christopher, J",1,3,100,1/7/93,1/3/95,,0,13,2,1,1,S. Res. 5,"Banking, Housing, and Urban Affairs",1,83,CT,,,,,
103,314,14509,"Sasser, Jim",1,4,100,1/7/93,1/3/95,,0,11,2,1,0,S. Res. 5,"Banking, Housing, and Urban Affairs",54,81,TN,,,,,
103,314,94659,"Shelby, Richard C.",1,5,100,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 5,"Banking, Housing, and Urban Affairs",41,83,AL,,,,,
103,314,14920,"Kerry, John F.",1,6,100,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 5,"Banking, Housing, and Urban Affairs",3,82,MA,,,,,
103,314,15700,"Bryan, Richard H.",1,7,100,1/7/93,1/3/95,,0,7,3,1,1,S. Res. 5,"Banking, Housing, and Urban Affairs",65,81,NV,,,,,
103,314,15011,"Boxer, Barbara",1,8,100,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 5,"Banking, Housing, and Urban Affairs",71,83,CA,,,,,
103,314,15407,"Campbell, Ben Nighthorse",1,9,100,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 5,"Banking, Housing, and Urban Affairs",62,83,CO,,,,,
103,314,49303,"Moseley-Braun, Carol",1,10,100,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 5,"Banking, Housing, and Urban Affairs",21,83,IL,,,,,
103,314,49308,"Murray, Patty",1,11,100,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 5,"Banking, Housing, and Urban Affairs",73,83,WA,,,,,
103,314,14900,"D'Amato, Alfonso M.",2,1,200,1/7/93,1/3/95,,21,13,2,1,1,S. Res. 7,"Banking, Housing, and Urban Affairs",13,83,NY,,,,,
103,314,14628,"Gramm, Phil",2,2,200,1/7/93,1/3/95,,0,8,2,1,1,S. Res. 7,"Banking, Housing, and Urban Affairs",49,82,TX,,,,,
103,314,15501,"Bond, Christopher S.",2,3,200,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 7,"Banking, Housing, and Urban Affairs",34,83,MO,,,,,
103,314,15037,"Mack, Connie",2,4,200,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 7,"Banking, Housing, and Urban Affairs",43,81,FL,,,,,
103,314,49304,"Faircloth, Lauch",2,5,200,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 7,"Banking, Housing, and Urban Affairs",47,83,NC,,,,,
103,314,49307,"Bennet, Robert F.",2,6,200,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 7,"Banking, Housing, and Urban Affairs",67,83,UT,,,,,
103,314,11044,"Roth, William V., Jr.",2,7,200,1/7/93,1/3/95,,0,5,2,1,2,S. Res. 7,"Banking, Housing, and Urban Affairs",11,81,DE,,,,,
103,314,14103,"Domenici, Pete V.",2,8,200,1/7/93,1/3/95,,0,3,3,1,1,S. Res. 7,"Banking, Housing, and Urban Affairs",66,82,NM,,,,,
103,316,14509,"Sasser, Jim",1,1,100,1/21/93,1/3/95,,11,17,2,1,0,S. Res. 19,Budget,54,81,TN,,,,,
103,316,11204,"Hollings, Ernest F.",1,2,100,1/21/93,1/3/95,,0,19,2,1,1,S. Res. 19,Budget,48,83,SC,,,,,
103,316,14107,"Johnston, J. Bennet",1,3,100,1/21/93,1/3/95,,0,17,2,1,1,S. Res. 19,Budget,45,82,LA,,,,,
103,316,11043,"Riegle, Donald W., Jr.",1,4,100,1/21/93,1/3/95,,0,15,2,1,0,S. Res. 19,Budget,23,81,MI,,,,,
103,316,14704,"Exon, J. James",1,5,100,1/21/93,1/3/95,,0,15,2,1,1,S. Res. 19,Budget,35,82,NE,,,,,
103,316,14914,"Lautenberg, Frank R.",1,6,100,1/21/93,1/3/95,,0,9,2,1,1,S. Res. 19,Budget,12,81,NJ,,,,,
103,316,14275,"Simon, Paul",1,7,100,1/21/93,1/3/95,,0,7,2,1,1,S. Res. 19,Budget,21,82,IL,,,,,
103,316,15502,"Conrad, Kent",1,8,100,1/21/93,1/3/95,,0,7,2,1,1,S. Res. 19,Budget,36,81,ND,,,,,
103,316,14213,"Dodd, Christopher, J",1,9,100,1/21/93,1/3/95,,0,7,2,1,1,S. Res. 19,Budget,1,83,CT,,,,,
103,316,13039,"Sarbanes, Paul S.",1,10,100,1/21/93,1/3/95,,0,1,2,1,1,S. Res. 19,Budget,52,81,MD,,,,,
103,316,15011,"Boxer, Barbara",1,11,100,1/21/93,1/3/95,,0,1,2,1,1,S. Res. 19,Budget,71,83,CA,,,,,
103,316,49308,"Murray, Patty",1,12,100,1/21/93,1/3/95,,0,1,2,1,1,S. Res. 19,Budget,73,83,WA,,,,,
103,316,14103,"Domenici, Pete V.",2,1,200,1/21/93,1/3/95,,21,19,2,1,1,S. Res. 22,Budget,66,82,NM,,,,,
103,316,14226,"Grassley, Charles E.",2,2,200,1/21/93,1/3/95,,0,13,2,1,1,S. Res. 22,Budget,31,83,IA,,,,,
103,316,14908,"Nickles, Don",2,3,200,1/21/93,1/3/95,,0,7,2,1,1,S. Res. 22,Budget,53,83,OK,,,,,
103,316,14628,"Gramm, Phil",2,4,200,1/21/93,1/3/95,,0,5,2,1,1,S. Res. 22,Budget,49,82,TX,,,,,
103,316,15501,"Bond, Christopher S.",2,5,200,1/21/93,1/3/95,,0,5,2,1,1,S. Res. 22,Budget,34,83,MO,,,,,
103,316,14031,"Lott, Trent",2,6,200,1/21/93,1/3/95,,0,3,2,1,1,S. Res. 22,Budget,46,81,MS,,,,,
103,316,14803,"Brown, Hank",2,7,200,1/21/93,1/3/95,,0,3,2,1,1,S. Res. 22,Budget,62,82,CO,,,,,
103,316,14904,"Gorton, Slade",2,8,200,1/21/93,1/3/95,,0,1,4,1,0,S. Res. 22,Budget,73,81,WA,,,,,
103,316,14826,"Gregg, Judd",2,9,200,1/21/93,1/3/95,,0,1,2,1,1,S. Res. 22,Budget,4,83,NH,,,,,
103,321,11204,"Hollings, Ernest F.",1,1,100,1/7/93,1/3/95,,11,27,2,1,1,S. Res. 5,"Commerce, Science, and Transportation",48,83,SC,,,,,
103,321,4812,"Inouye, Daniel K.",1,2,100,1/7/93,1/3/95,,0,25,2,1,1,S. Res. 5,"Commerce, Science, and Transportation",82,83,HI,,,,,
103,321,14302,"Ford, Wendell H.",1,3,100,1/7/93,1/3/95,,0,19,2,1,1,S. Res. 5,"Commerce, Science, and Transportation",51,83,KY,,,,,
103,321,14704,"Exon, J. James",1,4,100,1/7/93,1/3/95,,0,15,2,1,1,S. Res. 5,"Commerce, Science, and Transportation",35,82,NE,,,,,
103,321,14922,"Rockefeller, John D., IV",1,5,100,1/7/93,1/3/95,,0,8,2,1,1,S. Res. 5,"Commerce, Science, and Transportation",56,82,WV,,,,,
103,321,660,"Bentsen, Lloyd M., Jr.",1,6,100,1/7/93,1/21/93,,0,7,2,6,0,S. Res. 5,"Commerce, Science, and Transportation",49,81,TX,Resigns from Senate for another office; S154,,,,
103,321,14920,"Kerry, John F.",1,7,100,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 5,"Commerce, Science, and Transportation",3,82,MA,,,,,
103,321,13056,"Breaux, John B.",1,8,100,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 5,"Commerce, Science, and Transportation",45,83,LA,,,,,
103,321,15700,"Bryan, Richard H.",1,9,100,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 5,"Commerce, Science, and Transportation",65,81,NV,,,,,
103,321,15705,"Robb, Charles S.",1,10,100,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 5,"Commerce, Science, and Transportation",40,81,VA,,,,,
103,321,14812,"Dorgan, Byron",1,11,100,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 5,"Commerce, Science, and Transportation",36,83,ND,,,,,
103,321,14501,"Danforth, John C.",2,1,200,1/7/93,1/3/95,,21,16,2,1,0,S. Res. 7,"Commerce, Science, and Transportation",34,81,MO,,,,,
103,321,12107,"Packwood, Bob",2,2,200,1/7/93,1/3/95,,0,16,2,1,1,S. Res. 7,"Commerce, Science, and Transportation",72,83,OR,,,,,
103,321,14268,"Pressler, Larry",2,3,200,1/7/93,1/3/95,,0,15,2,1,1,S. Res. 7,"Commerce, Science, and Transportation",37,82,SD,,,,,
103,321,12109,"Stevens, Ted",2,4,200,1/7/93,1/3/95,,0,13,4,1,1,S. Res. 7,"Commerce, Science, and Transportation",81,82,AK,,,,,
103,321,15039,"McCain, John",2,5,200,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 7,"Commerce, Science, and Transportation",61,83,AZ,,,,,
103,321,15701,"Burns, Conrad",2,6,200,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 7,"Commerce, Science, and Transportation",64,81,MT,,,,,
103,321,14904,"Gorton, Slade",2,7,200,1/7/93,1/3/95,,0,5,4,1,0,S. Res. 7,"Commerce, Science, and Transportation",73,81,WA,,,,,
103,321,14031,"Lott, Trent",2,8,200,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 7,"Commerce, Science, and Transportation",46,81,MS,,,,,
103,321,14826,"Gregg, Judd",2,9,200,1/7/93,1/3/95,,0,1,2,1,2,S. Res. 7,"Commerce, Science, and Transportation",4,83,NH,,,,,
103,321,49306,"Hutchison, Kay Bailey",5,10,200,7/1/93,1/3/95,,0,1,2,1,1,S. Res. 131,"Commerce, Science, and Transportation",49,81,TX,,,,,
103,321,14247,"Krueger, Bob",6,1,100,1/21/93,6/14/93,,0,1,2,9,0,S. Res. 16,"Commerce, Science, and Transportation",49,81,TX,Replaces resigning Bentsen in Senate; loses special election 6/1993,,,,
103,330,14107,"Johnston, J. Bennet",1,1,100,1/7/93,1/3/95,,11,21,2,1,1,S. Res. 5,Energy and Natural Resources,45,82,LA,,,,,
103,330,14300,"Bumpers, Dale",1,2,100,1/7/93,1/3/95,,0,19,2,1,1,S. Res. 5,Energy and Natural Resources,42,83,AR,,,,,
103,330,14302,"Ford, Wendell H.",1,3,100,1/7/93,1/3/95,,0,16,2,1,1,S. Res. 5,Energy and Natural Resources,51,83,KY,,,,,
103,330,14702,"Bradley, Bill",1,4,100,1/7/93,1/3/95,,0,15,2,1,1,S. Res. 5,Energy and Natural Resources,12,82,NJ,,,,,
103,330,14912,"Bingaman, Jeff",1,5,100,1/7/93,1/3/95,,0,8,2,1,1,S. Res. 5,Energy and Natural Resources,66,81,NM,,,,,
103,330,15502,"Conrad, Kent",1,6,100,1/7/93,1/21/93,,0,7,2,2,1,S. Res. 5,Energy and Natural Resources,36,81,ND,Leaves Energy and Nat. Resources for Finance; S. Res. 15 1/21/1993,,,,
103,330,14400,"Akaka, Daniel K.",1,7,100,1/7/93,1/3/95,,0,3,2,1,1,S. Res. 5,Energy and Natural Resources,82,81,HI,,,,,
103,330,94659,"Shelby, Richard C.",1,8,100,1/7/93,1/3/95,,0,3,3,1,2,S. Res. 5,Energy and Natural Resources,41,83,AL,,,,,
103,330,49101,"Wellstone, Paul David",1,9,100,1/7/93,1/3/95,,0,3,2,1,1,S. Res. 5,Energy and Natural Resources,33,82,MN,,,,,
103,330,15407,"Campbell, Ben Nighthorse",1,10,100,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 5,Energy and Natural Resources,62,83,CO,,,,,
103,330,49305,"Mathews, Harlan",1,11,100,1/7/93,12/1/94,,0,1,2,8,0,S. Res. 5,Energy and Natural Resources,54,82,TN,Replaced in Senate by Thompson,,,,
103,330,14511,"Wallop, Malcolm",2,1,200,1/7/93,1/3/95,,21,15,2,1,0,S. Res. 7,Energy and Natural Resources,68,81,WY,,,,,
103,330,11203,"Hatfield, Mark O.",2,2,200,1/7/93,1/3/95,,0,27,2,1,1,S. Res. 7,Energy and Natural Resources,72,82,OR,,,,,
103,330,14103,"Domenici, Pete V.",2,3,200,1/7/93,1/3/95,,0,16,2,1,1,S. Res. 7,Energy and Natural Resources,66,82,NM,,,,,
103,330,14907,"Murkowski, Frank H.",2,4,200,1/7/93,1/3/95,,0,13,2,1,1,S. Res. 7,Energy and Natural Resources,81,83,AK,,,,,
103,330,14908,"Nickles, Don",2,5,200,1/7/93,1/3/95,,0,13,2,1,1,S. Res. 7,Energy and Natural Resources,53,83,OK,,,,,
103,330,14809,"Craig, Larry E.",2,6,200,1/7/93,1/3/95,,0,3,2,1,1,S. Res. 7,Energy and Natural Resources,63,82,ID,,,,,
103,330,49307,"Bennet, Robert F.",2,7,200,1/7/93,1/3/95,,0,1,4,1,2,S. Res. 7,Energy and Natural Resources,67,83,UT,,,,,
103,330,14910,"Specter, Arlen",2,8,200,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 7,Energy and Natural Resources,14,83,PA,,,,,
103,330,14031,"Lott, Trent",2,9,200,1/7/93,1/3/95,,0,1,2,1,2,S. Res. 7,Energy and Natural Resources,46,81,MS,,,,,
103,330,14247,"Krueger, Bob",6,1,100,1/21/93,6/14/93,,0,1,2,9,0,S. Res. 16,Energy and Natural Resources,49,81,TX,Replaces resigning Conrad in Senate; loses special election 6/1993,,,,
103,332,14508,"Moynihan, Daniel P.",1,1,100,1/7/93,1/3/95,,12,16,2,1,1,S. Res. 5,Environment and Public Works,13,81,NY,,,,,
103,332,14713,"Mitchell, George J.",1,2,100,1/7/93,1/3/95,,0,13,2,1,0,S. Res. 5,Environment and Public Works,2,81,ME,,,,,
103,332,14203,"Baucus, Max",1,3,100,1/7/93,1/3/95,,13,15,2,1,1,S. Res. 5,Environment and Public Works,64,82,MT,named chair 1/21/1993 S. Res. 14,,,,
103,332,14914,"Lautenberg, Frank R.",1,4,100,1/7/93,1/3/95,,0,9,3,1,1,S. Res. 5,Environment and Public Works,12,81,NJ,,,,,
103,332,15054,"Reid, Harry",1,5,100,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 5,Environment and Public Works,65,83,NV,,,,,
103,332,15503,"Graham, Bob",1,6,100,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 5,Environment and Public Works,43,83,FL,,,,,
103,332,15704,"Lieberman, Joseph I.",1,7,100,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 5,Environment and Public Works,1,81,CT,,,,,
103,332,14073,"Metzenbaum, Howard M.",1,8,100,1/7/93,1/3/95,,0,3,2,1,0,S. Res. 5,Environment and Public Works,24,81,OH,,,,,
103,332,49104,"Wofford, Harris",1,9,100,1/7/93,1/3/95,,0,2,2,1,0,S. Res. 5,Environment and Public Works,14,81,PA,,,,,
103,332,15011,"Boxer, Barbara",1,10,100,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 5,Environment and Public Works,71,83,CA,,,,,
103,332,14500,"Chafee, John H.",2,1,200,1/7/93,1/3/95,,21,16,2,1,1,S. Res. 7,Environment and Public Works,5,81,RI,,,,,
103,332,14710,"Simpson, Alan K.",2,2,200,1/7/93,1/3/95,,0,15,2,1,1,S. Res. 7,Environment and Public Works,68,82,WY,,,,,
103,332,14703,"Durenberger, Dave",2,3,200,1/7/93,1/3/95,,0,11,2,1,0,S. Res. 7,Environment and Public Works,33,81,MN,,,,,
103,332,14712,"Warner, John W.",2,4,200,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 7,Environment and Public Works,40,82,VA,,,,,
103,332,15116,"Smith, Robert C.",2,5,200,1/7/93,1/3/95,,0,3,2,1,1,S. Res. 7,Environment and Public Works,4,82,NH,,,,,
103,332,49304,"Faircloth, Lauch",2,6,200,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 7,Environment and Public Works,47,83,NC,,,,,
103,332,49302,"Kempthorne, Dirk",2,7,200,1/7/93,1/3/95,,0,1,2,1,1,S. Res. 7,Environment and Public Works,63,83,ID,,,,,
103,336,660,"Bentsen, Lloyd M., Jr.",1,1,100,1/7/93,1/21/93,,12,21,2,6,0,S. Res. 5,Finance,49,81,TX,Resigns from Senate for another office; S154,,,,
103,336,14508,"Moynihan, Daniel P.",1,2,100,1/7/93,1/3/95,,13,16,2,1,1,S. Res. 5,Finance,13,81,NY,named chair 1/21/1993 S. Res. 14,,,,
103,336,14203,"Baucus, Max",1,3,100,1/7/93,1/3/95,,0,15,2,1,1,S. Res. 5,Finance,64,82,MT,,,,,
103,336,14700,"Boren, David L.",1,4,100,1/7/93,10/15/94,,0,15,2,8,0,S. Res. 5,Finance,53,82,OK,"Became president, University of Oklahoma",,,,
103,336,14702,"Bradley, Bill",1,5,100,1/7/93,1/3/95,,0,15,2,1,1,S. Res. 5,Finance,12,82,NJ,,,,,
103,336,14713,"Mitchell, George J.",1,6,100,1/7/93,1/3/95,,0,13,2,1,0,S. Res. 5,Finance,2,81,ME,,,,,
