party,id,committee,session,last,first,other,new_id
1,29334,104,103,Meek,Carrie,NA,90
2,10607,104,103,McDade,Joseph,M.,91
2,11036,104,103,Myers,John,T.,92
2,13047,104,103,Young,C.W.,Bill,93
2,14045,104,103,Regula,Ralph,S.,94
2,14469,104,103,Livingston,Robert,L.,95
2,14644,104,103,Lewis,Jerry,NA,96
2,14677,104,103,Porter,John,Edward,97
2,14854,104,103,Rogers,Harold,NA,98
2,14861,104,103,Skeen,Joe,NA,99
2,14869,104,103,Wolf,Frank,R.,100
2,15094,104,103,DeLay,Tom,NA,101
2,15105,104,103,Kolbe,Jim,NA,102
2,15099,104,103,Gallo,Dean,A.,103
2,15075,104,103,Vucanovich,Barbara,F.,104
2,15106,104,103,Lightfoot,Jim,Ross,105
2,15051,104,103,Packard,Ron,NA,106
2,15090,104,103,Callahan,H.L.,(Sonny),107
2,15086,104,103,Bentley,Helen,Delich,108
2,15630,104,103,Walsh,James,T.,109
2,29135,104,103,Taylor,Charles,H.,110
2,29136,104,103,Hobson,David,L.,111
2,39302,104,103,Bonilla,Henry,B.,112
2,29392,104,103,Istook,Ernest,J.,113
1,13003,106,103,Aspin,Les,NA,114
1,11035,106,103,Montgomery,G.V.,(Sonny),115
1,13011,106,103,Dellums,Ronald,V.,116
1,14051,106,103,Schroeder,Patricia,S.,117
1,14636,106,103,Hutto,Earl,D.,118
1,14451,106,103,Skelton,Ike,NA,119
1,14843,106,103,McCurdy,Dave,NA,120
1,14251,106,103,LLoyd,Marilyn,NA,121
1,15060,106,103,Sisisky,Norman,NA,122
1,15064,106,103,Spratt,John,M.,123
1,15041,106,103,McCloskey,Francis,X.,124
1,15049,106,103,Ortiz,Solomon,P.,125
1,15421,106,103,Hochbrueckner,George,J.,126
1,15437,106,103,Pickett,Owen,B.,127
1,15430,106,103,Lancaster,H.,Martin,128
1,15023,106,103,Evans,Lane,NA,129
1,15403,106,103,Bilbray,James,H.,130
1,15628,106,103,Tanner,John,S.,131
1,15632,106,103,Browder,Glen,NA,132
1,15637,106,103,Taylor,Gene,NA,133
1,15245,106,103,Abercrombie,Neil,NA,134
1,29121,106,103,Andrews,Thomas,H.,135
1,29144,106,103,Edwards,Chet,NA,136
1,29343,106,103,Johnson,Don,NA,137
1,39303,106,103,Tejeda,Frank,NA,138
1,29385,106,103,Mann,David,NA,139
1,29360,106,103,Stupak,Bart,NA,140
1,29358,106,103,Meehan,Martin,T.,141
1,70305,106,103,Underwood,Robert,A.,142
1,29318,106,103,Harman,Jane,NA,143
1,29399,106,103,McHale,Paul,NA,144
1,15636,106,103,Geren,Pete,NA,145
1,29394,106,103,Furse,Elizabeth,NA,146
2,13042,106,103,Spence,Floyd,D.,147
2,14454,106,103,Stump,Robert,NA,148
2,14835,106,103,Hunter,Duncan,L.,149
2,15030,106,103,Kasich,John,R.,150
2,15003,106,103,Bateman,Herbert,H.,151
2,14829,106,103,Hansen,James,V.,152
2,15447,106,103,Weldon,Curt,NA,153
2,15429,106,103,Kyl,Jon,L.,154
2,15439,106,103,Ravenel,Arthur,NA,155
2,14414,106,103,Dornan,Robert,K.,156
2,15419,106,103,Hefley,Joel,NA,157
2,15615,106,103,Machtley,Ronald,K.,158
2,15112,106,103,Saxton,H.,James,159
2,29107,106,103,Cunningham,Randy,(Duke),160
2,15424,106,103,Inhofe,James,M.,161
2,29350,106,103,Buyer,Stephen,E.,162
2,29359,106,103,Torkildsen,Peter,G.,163
2,29329,106,103,Fowler,Tillie,NA,164
2,39316,106,103,McHugh,John,M.,165
2,29369,106,103,Talent,James,M.,166
2,29300,106,103,Everett,Terry,NA,53
2,29356,106,103,Bartlett,Roscoe,G.,167
1,29313,106,103,Farr,Sam,NA,47
1,29396,106,103,Holden,Tim,NA,23
1,10520,113,103,Gonzalez,Henry,B.,168
1,14262,113,103,Neal,Stephen,L.,169
1,14248,113,103,LaFalce,John,J.,170
1,14458,113,103,Vento,Bruce,F.,171
1,14858,113,103,Schumer,Charles,E.,172
1,14824,113,103,Frank,Barney,NA,173
1,15104,113,103,Kanjorski,Paul,E.,174
1,15427,113,103,Kennedy,Joseph,P.,175
1,15412,113,103,Flake,Floyd,H.,176
1,15433,113,103,Mfume,Kweisi,NA,177
1,29106,113,103,Waters,Maxine,NA,178
1,29114,113,103,LaRocco,Larry,NA,179
1,29146,113,103,Orton,Bill,NA,180
1,29112,113,103,Bacchus,Jim,NA,181
1,29372,113,103,Klein,Herb,NA,182
1,29379,113,103,Maloney,Carolyn,B.,183
1,29335,113,103,Deutsch,Peter,NA,184
1,29348,113,103,Gutierrez,Luis,V.,185
1,29346,113,103,Rush,Bobby,L.,186
1,29317,113,103,Roybal-Allard,Lucille,NA,187
1,39315,113,103,Barrett,Thomas,M.,188
1,29394,113,103,Furse,Elizabeth,NA,146
1,29378,113,103,Velazquez,Nydia,M.,189
1,29355,113,103,Wynn,Albert,R.,190
1,29354,113,103,Fields,Cleo,NA,191
1,29383,113,103,Watt,Melvin,NA,192
1,29380,113,103,Hinchey,Maurice,D.,193
1,29105,113,103,Dooley,Calvin,M.,16
1,29395,113,103,Klink,Ron,NA,194
1,29391,113,103,Fingerhut,Eric,D.,195
2,14432,113,103,Leach,James,A.S.,196
2,14842,113,103,McCollum,Bill,NA,197
2,14855,113,103,Roukema,Margaret,NA,198
2,14605,113,103,Bereuter,Douglas,K.,199
2,15056,113,103,Ridge,Thomas,J.,200
2,14655,113,103,Roth,Tobias,A.,201
2,15040,113,103,McCandless,Alfred,A.,202
2,15401,113,103,Baker,Richard,H.,203
2,29118,113,103,Nussle,Jim,NA,37
2,15633,113,103,Thomas,Craig,NA,204
2,29143,113,103,Johnson,Sam,NA,205
2,29390,113,103,Pryce,Deborah,NA,206
2,29341,113,103,Linder,John,NA,207
2,29365,113,103,Knollenberg,Joe,NA,208
2,29374,113,103,Lazio,Rick,A.,209
2,29367,113,103,Grams,Rod,NA,210
2,29301,113,103,Bachus,Spencer,NA,211
2,29314,113,103,Huffington,Michael,NA,212
2,29327,113,103,Castle,Michael,N.,213
2,29375,113,103,King,Peter,T.,214
1,29147,113,103,Sanders,Bernard,NA,215
1,14444,115,103,Panetta,Leon,E.,5
1,14421,115,103,Gephardt,Richard,A.,216
1,14430,115,103,Kildee,Dale,E.,217
1,14405,115,103,Beilenson,Anthony,C.,218
1,14656,115,103,Sabo,Martin,Olav,64
1,15005,115,103,Berman,Howard,L.,219
1,15077,115,103,Wise,Robert,E.,220
1,15013,115,103,Bryant,John,NA,221
1,15064,115,103,Spratt,John,M.,123
1,14664,115,103,Stenholm,Charles,W.,7
1,14824,115,103,Frank,Barney,NA,173
1,15019,115,103,Cooper,Jim,NA,222
1,15444,115,103,Slaughter,Louise,M.,223
1,15617,115,103,Parker,Mike,NA,224
1,14808,115,103,Coyne,William,J.,225
1,14877,115,103,Kennelly,Barbara,B.,226
1,15001,115,103,Andrews,Michael,A.,227
1,15083,115,103,Mollohan,Alan,B.,72
1,15100,115,103,Gordon,Bart,NA,228
1,15438,115,103,Price,David,E.,76
1,15453,115,103,Costello,Jerry,F.,229
1,15609,115,103,Johnston,Harry,A.,230
1,10757,115,103,Mink,Patsy,T.,231
1,29146,115,103,Orton,Bill,NA,180
1,29140,115,103,Blackwell,Lucien,E.,232
1,29384,115,103,Pomeroy,Earl,NA,22
2,15030,115,103,Kasich,John,R.,150
2,15108,115,103,McMillan,J.,Alex,233
2,15105,115,103,Kolbe,Jim,NA,102
2,15449,115,103,Shays,Christopher,NA,234
2,14661,115,103,Snowe,Olympia,J.B.,235
2,15445,115,103,Smith,Lamar,S.,236
2,15601,115,103,Cox,C.,Christopher,237
2,29108,115,103,Allard,Wayne,R.,35
2,29333,115,103,Miller,Dan,NA,238
2,29374,115,103,Lazio,Rick,A.,209
2,29371,115,103,Franks,Bob,NA,239
2,29364,115,103,Smith,Nick,NA,52
2,39300,115,103,Inglis,Bob,NA,240
2,29388,115,103,Hoke,Martin,R.,241
2,15420,115,103,Herger,Wally,NA,242
2,15406,115,103,Bunning,Jim,NA,243
2,29136,115,103,Hobson,David,L.,111
1,15632,115,103,Browder,Glen,NA,132
1,29309,115,103,Woolsey,Lynn,NA,244
1,14053,120,103,Stark,Fortney,Pete,245
1,15076,120,103,Wheat,Alan,NA,246
1,15613,120,103,McDermott,James,A.,247
1,70303,120,103,Norton,Eleanor,Holmes,248
1,15033,120,103,Levin,Sander,M.,249
1,15431,120,103,Lewis,John,R.,250
1,29120,120,103,Jefferson,William,J.,251
2,14802,120,103,Bliley,Thomas,J.,252
2,15621,120,103,Rohrabacher,Dana,NA,253
2,15112,120,103,Saxton,H.,James,159
2,15402,120,103,Ballenger,Cass,NA,254
1,13011,120,103,Dellums,Ronald,V.,116
1,10727,124,103,Ford,William,D.,255
1,12009,124,103,Clay,William,L.,256
1,14256,124,103,Miller,George,NA,257
1,14441,124,103,Murphy,Austin,J.,258
1,14430,124,103,Kildee,Dale,E.,217
1,14672,124,103,Williams,Pat,NA,50
1,14879,124,103,Martinez,Matthew,G.,259
1,15050,124,103,Owens,Major,R.,260
1,15442,124,103,Sawyer,Thomas,C.,261
1,15619,124,103,Payne,Donald,M.,262
1,15629,124,103,Unsoeld,Jolene,NA,263
1,10757,124,103,Mink,Patsy,T.,231
1,29132,124,103,Andrews,Robert,E.,264
1,29142,124,103,Reed,John,F.,265
1,29117,124,103,Roemer,Timothy,J.,266
1,15603,124,103,Engel,Eliot,L.,267
1,29316,124,103,Becerra,Xavier,NA,268
1,39307,124,103,Scott,Robert,C.,269
1,39304,124,103,Green,Gene,NA,270
1,29309,124,103,Woolsey,Lynn,NA,244
1,70304,124,103,Romero-Barcelo,Carlos,NA,271
1,29395,124,103,Klink,Ron,NA,194
1,29304,124,103,English,Karan,NA,272
1,29387,124,103,Strickland,Ted,NA,273
1,70301,124,103,de Lugo,Ron,NA,274
1,70302,124,103,Faleomavaega,Eni,F.,275
1,29353,124,103,Baesler,Scotty,NA,25
2,14288,124,103,Goodling,William,F.,276
2,14675,124,103,Petri,Thomas,E.,277
2,14855,124,103,Roukema,Margaret,NA,198
2,14827,124,103,Gunderson,Steven,NA,30
2,15125,124,103,Armey,Richard,K.,278
2,15098,124,103,Fawell,Harris,W.,279
2,15103,124,103,Henry,Paul,B.,280
2,15402,124,103,Ballenger,Cass,NA,254
2,14846,124,103,Molinari,Susan,NA,281
2,29129,124,103,Barrett,Bill,NA,36
2,29137,124,103,Boehner,John,A.,38
2,29107,124,103,Cunningham,Randy,(Duke),160
2,29361,124,103,Hoekstra,Peter,NA,282
2,29315,124,103,McKeon,Howard,P.,283
2,29333,124,103,Miller,Dan,NA,238
1,70305,124,103,Underwood,Robert,A.,142
2,29327,124,103,Castle,Michael,N.,213
1,2605,128,103,Dingell,John,D.,284
1,14280,128,103,Waxman,Henry,A.,285
1,14274,128,103,Sharp,Philip,R.,286
1,14435,128,103,Markey,Edward,J.,287
1,14666,128,103,Swift,Allan,B.,288
1,14068,128,103,Collins,Cardiss,NA,289
1,14667,128,103,Synar,Michael,L.,290
1,14679,128,103,Tauzin,W.,J.,291
1,14871,128,103,Wyden,Ron,NA,292
1,14828,128,103,Hall,Ralph,M.,293
1,15055,128,103,Richardson,Bill,NA,294
1,15061,128,103,Slattery,Jim,NA,295
1,15013,128,103,Bryant,John,NA,221
1,15010,128,103,Boucher,Frederick,C.,296
1,15019,128,103,Cooper,Jim,NA,222
1,15057,128,103,Rowland,J.,Roy,297
1,15107,128,103,Manton,Thomas,J.,298
1,15072,128,103,Towns,Edolphus,NA,299
1,14055,128,103,Studds,Gerry,E.,300
1,15032,128,103,Lehman,Richard,H.,301
1,15454,128,103,Pallone,Frank,NA,302
1,29145,128,103,Washington,Craig,NA,303
1,29324,128,103,Schenk,Lynn,NA,304
1,29389,128,103,Brown,Sherrod,NA,305
1,39313,128,103,Kreidler,Mike,NA,306
1,29398,128,103,Margolies-Mezvinsky,Marjorie,NA,307
1,29305,128,103,Lambert,Blanche,NA,51
2,14040,128,103,Moorhead,Carlos,J.,308
2,14802,128,103,Bliley,Thomas,J.,252
2,14822,128,103,Fields,Jack,NA,309
2,14875,128,103,Oxley,Michael,G.,310
2,15006,128,103,Bilirakis,Michael,NA,311
2,15058,128,103,Schaefer,Daniel,L.,312
2,15085,128,103,Barton,Joe,L.,313
2,15108,128,103,McMillan,J.,Alex,233
2,15417,128,103,Hastert,J.,Dennis,314
2,15446,128,103,Upton,Frederick,S.,315
2,15627,128,103,Stearns,Clifford,B.,316
2,15618,128,103,Paxon,L.,William,317
2,15604,128,103,Gillmor,Paul,E.,318
2,29150,128,103,Klug,Scott,L.,319
2,29110,128,103,Franks,Gary,NA,320
2,29397,128,103,Greenwood,James,C.,321
2,29345,128,103,Crapo,Michael,D.,322
1,10732,134,103,Hamilton,Lee,H.,323
1,14825,134,103,Gejdenson,Sam,NA,324
1,14837,134,103,Lantos,Tom,NA,325
1,15071,134,103,Torricelli,Robert,G.,326
1,15005,134,103,Berman,Howard,L.,219
1,15000,134,103,Ackerman,Gary,L.,327
1,15609,134,103,Johnston,Harry,A.,230
1,15603,134,103,Engel,Eliot,L.,267
1,70302,134,103,Faleomavaega,Eni,F.,275
1,14265,134,103,Oberstar,James,L.,328
1,14858,134,103,Schumer,Charles,E.,172
1,14879,134,103,Martinez,Matthew,G.,259
1,15008,134,103,Borski,Robert,A.,329
1,15619,134,103,Payne,Donald,M.,262
1,29132,134,103,Andrews,Robert,E.,264
1,29373,134,103,Menendez,Robert,NA,330
1,29389,134,103,Brown,Sherrod,NA,305
1,29344,134,103,McKinney,Cynthia,A.,24
1,39310,134,103,Cantwell,Maria,NA,331
1,29337,134,103,Hastings,Alcee,L.,332
1,29391,134,103,Fingerhut,Eric,D.,195
1,29335,134,103,Deutsch,Peter,NA,184
1,29355,134,103,Wynn,Albert,R.,190
1,10583,134,103,Edwards,Don,NA,333
1,15041,134,103,McCloskey,Francis,X.,124
1,15442,134,103,Sawyer,Thomas,C.,261
2,14015,134,103,Gilman,Benjamin,A.,334
2,14288,134,103,Goodling,William,F.,276
2,14432,134,103,Leach,James,A.S.,196
2,14655,134,103,Roth,Tobias,A.,201
2,14661,134,103,Snowe,Olympia,J.B.,235
2,14239,134,103,Hyde,Henry,J.,335
2,14605,134,103,Bereuter,Douglas,K.,199
2,14863,134,103,Smith,Christopher,H.,336
2,15014,134,103,Burton,Dan,NA,337
2,15109,134,103,Meyers,Jan,NA,338
2,15413,134,103,Gallegly,Elton,NA,339
2,15634,134,103,Ros-Lehtinen,Ileana,NA,340
2,15402,134,103,Ballenger,Cass,NA,254
2,15621,134,103,Rohrabacher,Dana,NA,253
2,29376,134,103,Levy,David,A.,341
2,29349,134,103,Manzullo,Donald,NA,342
2,29336,134,103,Diaz-Balart,Lincoln,NA,343
2,29321,134,103,Royce,Ed,NA,344
1,29348,134,103,Gutierrez,Luis,V.,185
1,10713,138,103,Conyers,John,NA,345
1,14068,138,103,Collins,Cardiss,NA,289
1,14219,138,103,English,Glenn,L.,4
1,14280,138,103,Waxman,Henry,A.,285
1,14667,138,103,Synar,Michael,L.,290
1,14262,138,103,Neal,Stephen,L.,169
1,14837,138,103,Lantos,Tom,NA,325
1,15050,138,103,Owens,Major,R.,260
1,15072,138,103,Towns,Edolphus,NA,299
1,15635,138,103,Condit,Gary,NA,14
1,29330,138,103,Thurman,Karen,L.,26
1,29309,138,103,Woolsey,Lynn,NA,244
1,29346,138,103,Rush,Bobby,L.,186
1,29379,138,103,Maloney,Carolyn,B.,183
1,39315,138,103,Barrett,Thomas,M.,188
1,15412,138,103,Flake,Floyd,H.,176
1,15418,138,103,Hayes,James,A.,346
1,29145,138,103,Washington,Craig,NA,303
1,29125,138,103,Collins,Barbara-Rose,NA,347
1,29328,138,103,Brown,Corrine,NA,348
1,29398,138,103,Margolies-Mezvinsky,Marjorie,NA,307
2,14612,138,103,Clinger,William,F.,349
2,15040,138,103,McCandless,Alfred,A.,202
2,15417,138,103,Hastert,J.,Dennis,314
2,15429,138,103,Kyl,Jon,L.,154
2,15449,138,103,Shays,Christopher,NA,234
2,15624,138,103,Schiff,Steven,H.,350
2,15601,138,103,Cox,C.,Christopher,237
2,15633,138,103,Thomas,Craig,NA,204
2,15634,138,103,Ros-Lehtinen,Ileana,NA,340
2,15615,138,103,Machtley,Ronald,K.,158
2,29133,138,103,Zimmer,Dick,NA,351
2,29130,138,103,Zeliff,William,NA,352
2,39316,138,103,McHugh,John,M.,165
2,29320,138,103,Horn,Steve,NA,353
2,29390,138,103,Pryce,Deborah,NA,206
2,29331,138,103,Mica,John,L.,354
1,29147,138,103,Sanders,Bernard,NA,215
1,15064,138,103,Spratt,John,M.,123
1,39304,138,103,Green,Gene,NA,270
1,29360,138,103,Stupak,Bart,NA,140
2,29386,138,103,Portman,Rob,NA,355
1,15619,138,103,Payne,Donald,M.,262
1,29127,138,103,Peterson,Collin,C.,15
2,29393,138,103,Lucas,Frank,D.,48
1,14048,142,103,Rose,Charlie,NA,3
1,14666,142,103,Swift,Allan,B.,288
1,12009,142,103,Clay,William,L.,256
1,14825,142,103,Gejdenson,Sam,NA,324
1,14626,142,103,Frost,J.,Martin,356
1,15107,142,103,Manton,Thomas,J.,298
1,14873,142,103,Hoyer,Steny,H.,68
1,15082,142,103,Kleczka,Gerald,D.,357
1,14430,142,103,Kildee,Dale,E.,217
1,14212,142,103,Derrick,Butler,C.,358
1,14877,142,103,Kennelly,Barbara,B.,226
1,15408,142,103,Cardin,Benjamin,L.,359
2,14669,142,103,Thomas,William,M.,360
2,14627,142,103,Gingrich,Newton,L.,361
2,14852,142,103,Roberts,Pat,NA,28
2,14469,142,103,Livingston,Robert,L.,95
2,29129,142,103,Barrett,Bill,NA,36
2,29137,142,103,Boehner,John,A.,38
2,39312,142,103,Dunn,Jennifer,NA,362
1,1077,156,103,Brooks,Jack,B.,363
1,10583,156,103,Edwards,Don,NA,333
1,10713,156,103,Conyers,John,NA,345
1,13024,156,103,Mazzoli,Romano,L.,364
1,14238,156,103,Hughes,William,J.,365
1,14667,156,103,Synar,Michael,L.,290
1,14051,156,103,Schroeder,Patricia,S.,117
1,14422,156,103,Glickman,Daniel,R.,6
1,14824,156,103,Frank,Barney,NA,173
1,14858,156,103,Schumer,Charles,E.,172
1,15005,156,103,Berman,Howard,L.,219
1,15010,156,103,Boucher,Frederick,C.,296
1,15013,156,103,Bryant,John,NA,221
1,15622,156,103,Sangmeister,George,E.,366
1,29145,156,103,Washington,Craig,NA,303
1,29142,156,103,Reed,John,F.,265
1,29377,156,103,Nadler,Jerrold,NA,367
1,39307,156,103,Scott,Robert,C.,269
1,29385,156,103,Mann,David,NA,139
1,29383,156,103,Watt,Melvin,NA,192
1,29316,156,103,Becerra,Xavier,NA,268
2,12013,156,103,Fish,Hamilton,NA,368
2,14040,156,103,Moorhead,Carlos,J.,308
2,14239,156,103,Hyde,Henry,J.,335
2,14657,156,103,Sensenbrenner,F.,James,369
2,14842,156,103,McCollum,Bill,NA,197
2,15026,156,103,Gekas,George,W.,370
2,15092,156,103,Coble,Howard,NA,371
2,15445,156,103,Smith,Lamar,S.,236
2,15624,156,103,Schiff,Steven,H.,350
2,29126,156,103,Ramstad,Jim,NA,372
2,15413,156,103,Gallegly,Elton,NA,339
2,29332,156,103,Canady,Charles,T.,45
2,39300,156,103,Inglis,Bob,NA,240
2,39308,156,103,Goodlatte,Robert,W.,42
1,14055,160,103,Studds,Gerry,E.,300
1,14238,160,103,Hughes,William,J.,365
1,14636,160,103,Hutto,Earl,D.,118
1,14679,160,103,Tauzin,W.,J.,291
1,15036,160,103,Lipinski,William,O.,373
1,15049,160,103,Ortiz,Solomon,P.,125
1,15107,160,103,Manton,Thomas,J.,298
1,15437,160,103,Pickett,Owen,B.,127
1,15421,160,103,Hochbrueckner,George,J.,126
1,15454,160,103,Pallone,Frank,NA,302
1,15611,160,103,Laughlin,Greg,H.,374
1,15629,160,103,Unsoeld,Jolene,NA,263
1,15637,160,103,Taylor,Gene,NA,133
1,29142,160,103,Reed,John,F.,265
1,15430,160,103,Lancaster,H.,Martin,128
1,29394,160,103,Furse,Elizabeth,NA,146
1,29324,160,103,Schenk,Lynn,NA,304
1,39304,160,103,Green,Gene,NA,270
1,29337,160,103,Hastings,Alcee,L.,332
1,29308,160,103,Hamburg,Dan,NA,375
1,29305,160,103,Lambert,Blanche,NA,51
1,29312,160,103,Eshoo,Anna,G.,376
1,29351,160,103,Barlow,Tom,NA,21
1,29360,160,103,Stupak,Bart,NA,140
1,29121,160,103,Andrews,Thomas,H.,135
1,39310,160,103,Cantwell,Maria,NA,331
1,29335,160,103,Deutsch,Peter,NA,184
1,15000,160,103,Ackerman,Gary,L.,327
2,14822,160,103,Fields,Jack,NA,309
2,14066,160,103,Young,Donald,E.,377
2,15003,160,103,Bateman,Herbert,H.,151
2,15112,160,103,Saxton,H.,James,159
2,15092,160,103,Coble,Howard,NA,371
2,15447,160,103,Weldon,Curt,NA,153
2,15424,160,103,Inhofe,James,M.,161
2,15439,160,103,Ravenel,Arthur,NA,155
2,29122,160,103,Gilchrest,Wayne,T.,378
2,29107,160,103,Cunningham,Randy,(Duke),160
2,29338,160,103,Kingston,Jack,NA,41
2,29329,160,103,Fowler,Tillie,NA,164
2,29327,160,103,Castle,Michael,N.,213
2,29375,160,103,King,Peter,T.,214
2,29336,160,103,Diaz-Balart,Lincoln,NA,343
2,29311,160,103,Pombo,Richard,W.,44
2,15086,160,103,Bentley,Helen,Delich,108
2,29135,160,103,Taylor,Charles,H.,110
1,29368,160,103,Thompson,Bennie,NA,46
2,29359,160,103,Torkildsen,Peter,G.,163
1,14256,164,103,Miller,George,NA,257
1,14274,164,103,Sharp,Philip,R.,286
1,14435,164,103,Markey,Edward,J.,287
1,14441,164,103,Murphy,Austin,J.,258
1,14448,164,103,Rahall,Nick,Joe,379
1,14458,164,103,Vento,Bruce,F.,171
1,14672,164,103,Williams,Pat,NA,50
1,70301,164,103,de Lugo,Ron,NA,274
1,14825,164,103,Gejdenson,Sam,NA,324
1,15032,164,103,Lehman,Richard,H.,301
1,15055,164,103,Richardson,Bill,NA,294
1,15410,164,103,DeFazio,Peter,A.,380
1,70302,164,103,Faleomavaega,Eni,F.,275
1,15425,164,103,Johnson,Tim,NA,10
1,29114,164,103,LaRocco,Larry,NA,179
1,15245,164,103,Abercrombie,Neil,NA,134
1,29105,164,103,Dooley,Calvin,M.,16
1,29127,164,103,Peterson,Collin,C.,15
1,70304,164,103,Romero-Barcelo,Carlos,NA,271
1,29304,164,103,English,Karan,NA,272
1,39306,164,103,Shepherd,Karen,NA,381
1,29342,164,103,Deal,Nathan,NA,382
1,29380,164,103,Hinchey,Maurice,D.,193
1,70305,164,103,Underwood,Robert,A.,142
1,15023,164,103,Evans,Lane,NA,129
1,10757,164,103,Mink,Patsy,T.,231
1,29351,164,103,Barlow,Tom,NA,21
1,39315,164,103,Barrett,Thomas,M.,188
2,14066,164,103,Young,Donald,E.,377
2,14829,164,103,Hansen,James,V.,152
2,15075,164,103,Vucanovich,Barbara,F.,104
2,15413,164,103,Gallegly,Elton,NA,339
2,15063,164,103,Smith,Robert,F.,32
2,15633,164,103,Thomas,Craig,NA,204
2,15455,164,103,Duncan,John,J.,383
2,15419,164,103,Hefley,Joel,NA,157
2,29104,164,103,Doolittle,John,T.,40
2,29108,164,103,Allard,Wayne,R.,35
2,15401,164,103,Baker,Richard,H.,203
2,29323,164,103,Calvert,Ken,NA,384
2,29326,164,103,McInnis,Scott,NA,385
2,29311,164,103,Pombo,Richard,W.,44
2,29307,164,103,Dickey,Jay,NA,43
1,15005,164,103,Berman,Howard,L.,219
