party,id,committee,session,last,first,other,new_id
2,11044,344,103,Roth,William,V.,72
2,12109,344,103,Stevens,Ted,NA,33
2,14010,344,103,Cohen,William,S.,55
2,14009,344,103,Cochran,Thad,NA,14
2,15039,344,103,McCain,John,NA,56
2,49307,344,103,Bennet,Robert,F.,71
1,14101,358,103,Biden,Joseph,R.,100
1,10808,358,103,Kennedy,Edward,M.,46
1,14073,358,103,Metzenbaum,Howard,M.,93
1,14502,358,103,DeConcini,Dennis,NA,24
1,14307,358,103,Leahy,Patrick,J.,1
1,14705,358,103,Heflin,Howell,NA,4
1,14275,358,103,Simon,Paul,NA,73
1,15703,358,103,Kohl,Herbert,H.,29
1,49300,358,103,Feinstein,Dianne,NA,31
1,49303,358,103,Moseley-Braun,Carol,NA,70
2,14503,358,103,Hatch,Orrin,G.,98
2,9369,358,103,Thurmond,Strom,NA,53
2,14710,358,103,Simpson,Alan,K.,96
2,14226,358,103,Grassley,Charles,E.,18
2,14910,358,103,Specter,Arlen,NA,35
2,14803,358,103,Brown,Hank,NA,74
2,14010,358,103,Cohen,William,S.,55
2,14268,358,103,Pressler,Larry,NA,83
1,10808,362,103,Kennedy,Edward,M.,46
1,10818,362,103,Pell,Claiborne,NA,99
1,14073,362,103,Metzenbaum,Howard,M.,93
1,14213,362,103,Dodd,Christopher,NA,65
1,14275,362,103,Simon,Paul,NA,73
1,14230,362,103,Harkin,Tom,NA,5
1,14440,362,103,Mikulski,Barbara,A.,27
1,14912,362,103,Bingaman,Jeff,NA,47
1,49101,362,103,Wellstone,Paul,David,87
1,49104,362,103,Wofford,Harris,NA,94
2,14708,362,103,Kassebaum,Nancy,Landon,101
2,14240,362,103,Jeffords,James,M.,102
2,14806,362,103,Coats,Dan,NA,58
2,14826,362,103,Gregg,Judd,NA,75
2,9369,362,103,Thurmond,Strom,NA,53
2,14503,362,103,Hatch,Orrin,G.,98
2,14703,362,103,Durenberger,Dave,NA,97
1,14302,380,103,Ford,Wendell,H.,76
1,10818,380,103,Pell,Claiborne,NA,99
1,1366,380,103,Byrd,Robert,C.,19
1,4812,380,103,Inouye,Daniel,K.,20
1,14502,380,103,DeConcini,Dennis,NA,24
1,14508,380,103,Moynihan,Daniel,P.,91
1,14213,380,103,Dodd,Christopher,NA,65
1,49300,380,103,Feinstein,Dianne,NA,31
1,49305,380,103,Mathews,Harlan,NA,88
2,12109,380,103,Stevens,Ted,NA,33
2,11203,380,103,Hatfield,Mark,O.,32
2,14105,380,103,Helms,Jesse,NA,13
2,14712,380,103,Warner,John,W.,54
2,10513,380,103,Dole,Robert,NA,12
2,14921,380,103,McConnell,Mitch,NA,15
2,14009,380,103,Cochran,Thad,NA,14
1,14300,384,103,Bumpers,Dale,NA,25
1,14108,384,103,Nunn,Sam,NA,43
1,14709,384,103,Levin,Carl,NA,45
1,14230,384,103,Harkin,Tom,NA,5
1,14920,384,103,Kerry,John,F.,66
1,15704,384,103,Lieberman,Joseph,I.,52
1,49101,384,103,Wellstone,Paul,David,87
1,49104,384,103,Wofford,Harris,NA,94
1,14705,384,103,Heflin,Howell,NA,4
1,14914,384,103,Lautenberg,Frank,R.,26
1,15703,384,103,Kohl,Herbert,H.,29
1,49303,384,103,Moseley-Braun,Carol,NA,70
2,14268,384,103,Pressler,Larry,NA,83
2,14511,384,103,Wallop,Malcolm,NA,89
2,15501,384,103,Bond,Christopher,S.,39
2,15701,384,103,Burns,Conrad,NA,42
2,15037,384,103,Mack,Connie,NA,41
2,49301,384,103,Coverdell,Paul,NA,17
2,49302,384,103,Kempthorne,Dirk,NA,60
2,49307,384,103,Bennet,Robert,F.,71
2,14500,384,103,Chafee,John,H.,95
2,49306,384,103,Hutchison,Kay,Bailey,62
1,14922,388,103,Rockefeller,John,D.,77
1,14502,388,103,DeConcini,Dennis,NA,24
1,14713,388,103,Mitchell,George,J.,92
1,15503,388,103,Graham,Bob,NA,50
1,14400,388,103,Akaka,Daniel,K.,86
1,14617,388,103,Daschle,Thomas,A.,7
1,15407,388,103,Campbell,Ben,Nighthorse,69
2,14907,388,103,Murkowski,Frank,H.,90
2,14910,388,103,Specter,Arlen,NA,35
2,14710,388,103,Simpson,Alan,K.,96
2,9369,388,103,Thurmond,Strom,NA,53
2,14240,388,103,Jeffords,James,M.,102
1,10791,419,103,Pryor,David,NA,2
1,14304,419,103,Glenn,John,NA,48
1,14702,419,103,Bradley,Bill,NA,85
1,14107,419,103,Johnston,J.,Bennet,22
1,13056,419,103,Breaux,John,B.,79
1,94659,419,103,Shelby,Richard,C.,49
1,15054,419,103,Reid,Harry,NA,28
1,15503,419,103,Graham,Bob,NA,50
1,15703,419,103,Kohl,Herbert,H.,29
1,49309,419,103,Feingold,Russel,D.,10
1,14247,419,103,Krueger,Bob,NA,84
2,14010,419,103,Cohen,William,S.,55
2,14268,419,103,Pressler,Larry,NA,83
2,14226,419,103,Grassley,Charles,E.,18
2,14710,419,103,Simpson,Alan,K.,96
2,14240,419,103,Jeffords,James,M.,102
2,15039,419,103,McCain,John,NA,56
2,14703,419,103,Durenberger,Dave,NA,97
2,14809,419,103,Craig,Larry,E.,16
2,15701,419,103,Burns,Conrad,NA,42
2,14910,419,103,Specter,Arlen,NA,35
1,14502,432,103,DeConcini,Dennis,NA,24
1,14073,432,103,Metzenbaum,Howard,M.,93
1,14304,432,103,Glenn,John,NA,48
1,15702,432,103,Kerrey,J.,Robert,9
1,15700,432,103,Bryan,Richard,H.,67
1,15503,432,103,Graham,Bob,NA,50
1,14920,432,103,Kerry,John,F.,66
1,14203,432,103,Baucus,Max,NA,8
1,14107,432,103,Johnston,J.,Bennet,22
2,14712,432,103,Warner,John,W.,54
2,14900,432,103,D'Amato,Alfonso,M.,34
2,14501,432,103,Danforth,John,C.,81
2,14904,432,103,Gorton,Slade,NA,40
2,14500,432,103,Chafee,John,H.,95
2,12109,432,103,Stevens,Ted,NA,33
2,14506,432,103,Lugar,Richard,G.,11
2,14511,432,103,Wallop,Malcolm,NA,89
1,15700,434,103,Bryan,Richard,H.,67
1,14440,434,103,Mikulski,Barbara,A.,27
1,14617,434,103,Daschle,Thomas,A.,7
2,14921,434,103,McConnell,Mitch,NA,15
2,12109,434,103,Stevens,Ted,NA,33
2,15116,434,103,Smith,Robert,C.,59
2,14809,434,103,Craig,Larry,E.,16
1,4812,435,103,Inouye,Daniel,K.,20
1,14502,435,103,DeConcini,Dennis,NA,24
1,14617,435,103,Daschle,Thomas,A.,7
1,15054,435,103,Reid,Harry,NA,28
1,14275,435,103,Simon,Paul,NA,73
1,14400,435,103,Akaka,Daniel,K.,86
1,49101,435,103,Wellstone,Paul,David,87
1,14812,435,103,Dorgan,Byron,NA,80
1,15407,435,103,Campbell,Ben,Nighthorse,69
2,15039,435,103,McCain,John,NA,56
2,14907,435,103,Murkowski,Frank,H.,90
2,14009,435,103,Cochran,Thad,NA,14
2,14904,435,103,Gorton,Slade,NA,40
2,14103,435,103,Domenici,Pete,V.,36
2,14708,435,103,Kassebaum,Nancy,Landon,101
2,14908,435,103,Nickles,Don,NA,37
2,11203,435,103,Hatfield,Mark,O.,32
1,10818,500,103,Pell,Claiborne,NA,99
1,14502,500,103,DeConcini,Dennis,NA,24
1,14508,500,103,Moynihan,Daniel,P.,91
2,11203,500,103,Hatfield,Mark,O.,32
2,12109,500,103,Stevens,Ted,NA,33
1,14302,501,103,Ford,Wendell,H.,76
1,14502,501,103,DeConcini,Dennis,NA,24
1,49305,501,103,Mathews,Harlan,NA,88
2,12109,501,103,Stevens,Ted,NA,33
2,11203,501,103,Hatfield,Mark,O.,32
1,10808,507,103,Kennedy,Edward,M.,46
1,14912,507,103,Bingaman,Jeff,NA,47
1,15700,507,103,Bryan,Richard,H.,67
1,15705,507,103,Robb,Charles,S.,51
1,14812,507,103,Dorgan,Byron,NA,80
2,11044,507,103,Roth,William,V.,72
2,15037,507,103,Mack,Connie,NA,41
2,14809,507,103,Craig,Larry,E.,16
2,49307,507,103,Bennet,Robert,F.,71
1,14302,662,103,Ford,Wendell,H.,76
1,14713,662,103,Mitchell,George,J.,92
2,10513,662,103,Dole,Robert,NA,12
2,14710,662,103,Simpson,Alan,K.,96
2,14506,305,104,Lugar,Richard,G.,11
2,10513,305,104,Dole,Robert,NA,12
2,14105,305,104,Helms,Jesse,NA,13
2,14009,305,104,Cochran,Thad,NA,14
2,14921,305,104,McConnell,Mitch,NA,15
2,14809,305,104,Craig,Larry,E.,16
2,49301,305,104,Coverdell,Paul,NA,17
2,29141,305,104,Santorum,Rick,NA,103
2,14712,305,104,Warner,John,W.,54
1,14307,305,104,Leahy,Patrick,J.,1
1,10791,305,104,Pryor,David,NA,2
1,14705,305,104,Heflin,Howell,NA,4
1,14230,305,104,Harkin,Tom,NA,5
1,15502,305,104,Conrad,Kent,NA,6
1,14617,305,104,Daschle,Thomas,A.,7
1,14203,305,104,Baucus,Max,NA,8
1,15702,305,104,Kerrey,J.,Robert,9
2,15407,305,104,Campbell,Ben,Nighthorse,104
2,14226,305,104,Grassley,Charles,E.,18
2,14628,305,104,Gramm,Phil,NA,38
2,11203,306,104,Hatfield,Mark,O.,32
2,12109,306,104,Stevens,Ted,NA,33
2,14009,306,104,Cochran,Thad,NA,14
2,14910,306,104,Specter,Arlen,NA,35
2,14103,306,104,Domenici,Pete,V.,36
2,14628,306,104,Gramm,Phil,NA,38
2,15501,306,104,Bond,Christopher,S.,39
2,14904,306,104,Gorton,Slade,NA,40
2,14921,306,104,McConnell,Mitch,NA,15
2,15037,306,104,Mack,Connie,NA,41
2,15701,306,104,Burns,Conrad,NA,42
2,94659,306,104,Shelby,Richard,C.,105
2,14240,306,104,Jeffords,James,M.,102
2,14826,306,104,Gregg,Judd,NA,75
2,49307,306,104,Bennet,Robert,F.,71
1,1366,306,104,Byrd,Robert,C.,19
1,4812,306,104,Inouye,Daniel,K.,20
1,11204,306,104,Hollings,Ernest,F.,21
1,14107,306,104,Johnston,J.,Bennet,22
1,14307,306,104,Leahy,Patrick,J.,1
1,14300,306,104,Bumpers,Dale,NA,25
1,14914,306,104,Lautenberg,Frank,R.,26
1,14230,306,104,Harkin,Tom,NA,5
1,14440,306,104,Mikulski,Barbara,A.,27
1,15054,306,104,Reid,Harry,NA,28
1,15702,306,104,Kerrey,J.,Robert,9
1,15703,306,104,Kohl,Herbert,H.,29
1,49308,306,104,Murray,Patty,NA,30
2,15407,306,104,Campbell,Ben,Nighthorse,104
2,9369,308,104,Thurmond,Strom,NA,53
2,14712,308,104,Warner,John,W.,54
2,14010,308,104,Cohen,William,S.,55
2,15039,308,104,McCain,John,NA,56
2,14031,308,104,Lott,Trent,NA,57
2,14806,308,104,Coats,Dan,NA,58
2,15116,308,104,Smith,Robert,C.,59
2,49302,308,104,Kempthorne,Dirk,NA,60
2,49306,308,104,Hutchison,Kay,Bailey,62
2,15424,308,104,Inhofe,James,M.,106
2,29141,308,104,Santorum,Rick,NA,103
1,14108,308,104,Nunn,Sam,NA,43
1,14704,308,104,Exon,J.,James,44
1,14709,308,104,Levin,Carl,NA,45
1,10808,308,104,Kennedy,Edward,M.,46
1,14912,308,104,Bingaman,Jeff,NA,47
1,14304,308,104,Glenn,John,NA,48
1,1366,308,104,Byrd,Robert,C.,19
1,15705,308,104,Robb,Charles,S.,51
1,15704,308,104,Lieberman,Joseph,I.,52
1,15700,308,104,Bryan,Richard,H.,67
2,49504,308,104,Frahm,Sheila,NA,107
2,14900,314,104,D'Amato,Alfonso,M.,34
2,14628,314,104,Gramm,Phil,NA,38
2,94659,314,104,Shelby,Richard,C.,105
2,15501,314,104,Bond,Christopher,S.,39
2,15037,314,104,Mack,Connie,NA,41
2,49304,314,104,Faircloth,Lauch,NA,61
2,49307,314,104,Bennet,Robert,F.,71
2,29367,314,104,Grams,Rod,NA,108
2,49502,314,104,Frist,William,H.,109
1,13039,314,104,Sarbanes,Paul,S.,64
1,14213,314,104,Dodd,Christopher,NA,65
1,14920,314,104,Kerry,John,F.,66
1,15011,314,104,Boxer,Barbara,NA,68
1,15407,314,104,Campbell,Ben,Nighthorse,69
1,49303,314,104,Moseley-Braun,Carol,NA,70
1,49308,314,104,Murray,Patty,NA,30
2,14103,314,104,Domenici,Pete,V.,36
2,49504,314,104,Frahm,Sheila,NA,107
2,14103,316,104,Domenici,Pete,V.,36
2,14226,316,104,Grassley,Charles,E.,18
2,14908,316,104,Nickles,Don,NA,37
2,14628,316,104,Gramm,Phil,NA,38
2,15501,316,104,Bond,Christopher,S.,39
2,14031,316,104,Lott,Trent,NA,57
2,14803,316,104,Brown,Hank,NA,74
2,14904,316,104,Gorton,Slade,NA,40
2,14826,316,104,Gregg,Judd,NA,75
2,14661,316,104,Snowe,Olympia,J.,110
2,49500,316,104,Abraham,Spencer,NA,111
2,49502,316,104,Frist,William,H.,109
1,14704,316,104,Exon,J.,James,44
1,11204,316,104,Hollings,Ernest,F.,21
1,14107,316,104,Johnston,J.,Bennet,22
1,14914,316,104,Lautenberg,Frank,R.,26
1,14275,316,104,Simon,Paul,NA,73
1,15502,316,104,Conrad,Kent,NA,6
1,14213,316,104,Dodd,Christopher,NA,65
1,13039,316,104,Sarbanes,Paul,S.,64
1,15011,316,104,Boxer,Barbara,NA,68
1,49308,316,104,Murray,Patty,NA,30
2,29367,316,104,Grams,Rod,NA,108
1,14871,316,104,Wyden,Ron,NA,112
2,15037,316,104,Mack,Connie,NA,41
2,14268,321,104,Pressler,Larry,NA,83
2,12107,321,104,Packwood,Bob,NA,82
2,12109,321,104,Stevens,Ted,NA,33
2,15039,321,104,McCain,John,NA,56
2,15701,321,104,Burns,Conrad,NA,42
2,14904,321,104,Gorton,Slade,NA,40
2,14031,321,104,Lott,Trent,NA,57
2,49306,321,104,Hutchison,Kay,Bailey,62
2,14661,321,104,Snowe,Olympia,J.,110
2,49501,321,104,Ashcroft,John,NA,113
1,11204,321,104,Hollings,Ernest,F.,21
1,4812,321,104,Inouye,Daniel,K.,20
1,14302,321,104,Ford,Wendell,H.,76
1,14704,321,104,Exon,J.,James,44
1,14922,321,104,Rockefeller,John,D.,77
1,14920,321,104,Kerry,John,F.,66
1,13056,321,104,Breaux,John,B.,79
1,15700,321,104,Bryan,Richard,H.,67
1,14812,321,104,Dorgan,Byron,NA,80
2,49500,321,104,Abraham,Spencer,NA,111
1,14871,321,104,Wyden,Ron,NA,112
2,49502,321,104,Frist,William,H.,109
2,14907,330,104,Murkowski,Frank,H.,90
2,11203,330,104,Hatfield,Mark,O.,32
2,14103,330,104,Domenici,Pete,V.,36
2,14908,330,104,Nickles,Don,NA,37
2,14809,330,104,Craig,Larry,E.,16
2,15633,330,104,Thomas,Craig,NA,114
2,15429,330,104,Kyl,Jon,NA,115
2,29367,330,104,Grams,Rod,NA,108
2,14240,330,104,Jeffords,James,M.,102
2,15701,330,104,Burns,Conrad,NA,42
1,14107,330,104,Johnston,J.,Bennet,22
1,14300,330,104,Bumpers,Dale,NA,25
1,14302,330,104,Ford,Wendell,H.,76
1,14702,330,104,Bradley,Bill,NA,85
1,14912,330,104,Bingaman,Jeff,NA,47
1,14400,330,104,Akaka,Daniel,K.,86
1,49101,330,104,Wellstone,Paul,David,87
1,15407,330,104,Campbell,Ben,Nighthorse,69
1,14812,330,104,Dorgan,Byron,NA,80
1,14705,330,104,Heflin,Howell,NA,4
2,14500,332,104,Chafee,John,H.,95
2,14712,332,104,Warner,John,W.,54
2,15116,332,104,Smith,Robert,C.,59
2,49304,332,104,Faircloth,Lauch,NA,61
2,49302,332,104,Kempthorne,Dirk,NA,60
2,15424,332,104,Inhofe,James,M.,106
2,15633,332,104,Thomas,Craig,NA,114
2,14921,332,104,McConnell,Mitch,NA,15
2,15501,332,104,Bond,Christopher,S.,39
1,14203,332,104,Baucus,Max,NA,8
1,14508,332,104,Moynihan,Daniel,P.,91
1,14914,332,104,Lautenberg,Frank,R.,26
1,15054,332,104,Reid,Harry,NA,28
1,15503,332,104,Graham,Bob,NA,50
1,15704,332,104,Lieberman,Joseph,I.,52
1,15011,332,104,Boxer,Barbara,NA,68
2,49307,332,104,Bennet,Robert,F.,71
1,14871,332,104,Wyden,Ron,NA,112
2,12107,336,104,Packwood,Bob,NA,82
2,10513,336,104,Dole,Robert,NA,12
2,11044,336,104,Roth,William,V.,72
2,14500,336,104,Chafee,John,H.,95
2,14226,336,104,Grassley,Charles,E.,18
2,14503,336,104,Hatch,Orrin,G.,98
2,14710,336,104,Simpson,Alan,K.,96
2,14268,336,104,Pressler,Larry,NA,83
2,14900,336,104,D'Amato,Alfonso,M.,34
2,14907,336,104,Murkowski,Frank,H.,90
2,14908,336,104,Nickles,Don,NA,37
1,14508,336,104,Moynihan,Daniel,P.,91
1,14203,336,104,Baucus,Max,NA,8
1,14702,336,104,Bradley,Bill,NA,85
1,10791,336,104,Pryor,David,NA,2
1,14922,336,104,Rockefeller,John,D.,77
1,13056,336,104,Breaux,John,B.,79
1,15502,336,104,Conrad,Kent,NA,6
1,15503,336,104,Graham,Bob,NA,50
1,49303,336,104,Moseley-Braun,Carol,NA,70
2,14628,336,104,Gramm,Phil,NA,38
2,14031,336,104,Lott,Trent,NA,57
2,14105,338,104,Helms,Jesse,NA,13
2,14506,338,104,Lugar,Richard,G.,11
2,14708,338,104,Kassebaum,Nancy,Landon,101
2,14803,338,104,Brown,Hank,NA,74
2,49301,338,104,Coverdell,Paul,NA,17
2,14661,338,104,Snowe,Olympia,J.,110
2,49503,338,104,Thompson,Fred,NA,116
2,15633,338,104,Thomas,Craig,NA,114
2,29367,338,104,Grams,Rod,NA,108
2,49501,338,104,Ashcroft,John,NA,113
1,10818,338,104,Pell,Claiborne,NA,99
1,14101,338,104,Biden,Joseph,R.,100
1,13039,338,104,Sarbanes,Paul,S.,64
